year;CID;name;party
2000;N00004523;Jerry Shuster (R);R
2000;N00005009;Richmond A Soluade Sr (R);R
2000;N00005073;Richard E Illyes (L);L
2000;N00005015;John A Holmes Jr (R);R
2000;N00005078;Brian K Lundy (L);L
2000;N00005055;Mark Ludwig (R);R
2000;N00005057;Bill Federer (R);R
2000;N00005012;Steven G Bailey (D);D
2000;N00005160;Cecilia D Noland (R);R
2000;N00005143;Elizabeth Ann Dulaney (3);3
2000;N00005157;Gary Nodler (R);R
2000;N00005202;Marc Perkel (R);R
2000;N00005089;Thad Bullock (D);D
2000;N00005096;Anthony Joseph Heckemeyer (D);D
2000;N00005095;John Hendricks (L);L
2000;N00005167;Kenneth Bentley Jacob (D);D
2000;N00005176;Linda Vogt (D);D
2000;N00005081;Robert Hoffman (L);L
2000;N00003362;Mike Parker (R);R
2000;N00003319;Steven Alan Patterson (D);D
2000;N00003296;Phillip R Davis (R);R
2000;N00003368;Arthur D Rhodes (R);R
2000;N00003299;Heath Hall (R);R
2000;N00003367;Dunn Lampton (R);R
2000;N00003332;James Erik Hearon (R);R
2000;N00003297;Joyce Arceneaux (D);D
2000;N00003320;Carroll Rhodes (D);D
2000;N00003330;C Delbert Hosemann Jr (R);R
2000;N00003369;Wilburn Fortinberry (R);R
2000;N00003321;Ken Stribling (R);R
2000;N00003339;Ronnie Shows (D);D
2000;N00003363;Marvin Douglas Sullivan (R);R
2000;N00003350;Gene Taylor (D);D
2000;N00003344;Richard Edward O'Hara (D);D
2000;N00003354;Randy McDonnell (R);R
2000;N00003357;Karl Mertz (R);R
2000;N00003352;Ray Coffey (L);L
2000;N00003351;Robert Claunch (3);3
2000;N00004661;Robert L (Dusty) Deschamps (D);D
2000;N00004648;Pat Williams (D);D
2000;N00004663;Mike Fellows (L);L
2000;N00004628;Webb Sullivan (3);3
2000;N00002263;Dan E Page (R);R
2000;N00002300;Linwood E Mercer (D);D
2000;N00002272;Jerome A Power (R);R
2000;N00002306;Duane E Kratzer Jr (R);R
2000;N00002250;Jack Schwartz (L);L
2000;N00002264;Richard D Skillen (R);R
2000;N00002267;Jonathan Stuart Williams (D);D
2000;N00002376;Robert (Bob) Ayers Jr (D);D
2000;N00002286;Tom Roberg (R);R
2000;N00002292;Ralph M McKinney Jr (D);D
2000;N00002217;Michael J Robinson (D);D
2000;N00002249;Jeffrey D Bentley (L);L
2000;N00002356;Mike McIntyre (D);D
2000;N00002362;Randolph W Crow (D);D
2000;N00002373;Anna Taylor Stewart (R);R
2000;N00002363;Paul Meadows (L);L
2000;N00002315;Robin Hayes (R);R
2000;N00008059;Mike Taylor (D);D
2000;N00002368;Bob Burns (L);L
2000;N00002222;Alvin Jeffrey Taylor (L);L
2000;N00002319;Deborah Garrett Eddins (3);L
2000;N00002383;Charles H Taylor (R);R
2000;N00002393;David W Young (D);D
2000;N00002389;Chris Heckert (L);L
2000;N00008060;John Scott Keadle (R);R
2000;N00002235;John Joseph Kozlowski Jr (R);R
2000;N00002312;Ronnie Wayne Adcock (D);D
2000;N00002343;Michael J Jackson (R);R
2000;N00002337;Thomas John Bush (R);R
2000;N00012593;Gerald Lamar Hankins (D);D
2000;N00012594;Wes Flener (U);U
2000;N00012595;Jeffrey Blair Peters (D);D
2000;N00011406;George D Weber (3);3
2000;N00012596;Erik Thompson (I);I
2000;N00012597;Jim Taylor (D);D
2000;N00012598;Lynda Danyelle Blodgett (R);R
2000;N00012599;Evelyn Louise Vitullo (D);D
2000;N00012600;Michael J Sullivan (R);R
2000;N00006542;William Franklin Davis (R);R
2000;N00001090;James Earl Mcmillan (D);D
2000;N00003590;Marvin McMickle (D);D
2000;N00000910;Abraham Hirschfeld (I);I
2000;N00012601;Ron Unz (R);R
2000;N00012602;Rocky Flash (3);3
2000;N00012603;Philip F Lawler (3);3
2000;N00012604;Michael V Ciresi (D);D
2000;N00012605;James W Treffinger (R);R
2000;N00000854;William L Gormley (R);R
2000;N00012606;Ed Bernstein (D);D
2000;N00007836;Maria Cantwell (D);D
2000;N00012568;Edwin Irizarry (3);3
2000;N00007377;Tom Campbell (R);R
2000;N00004917;Marsha Aileen Lannon Foutch (D);D
2000;N00007401;Frederick Eugene Ogin (D);D
2000;N00003765;Mike Pence (R);R
2000;N00007317;Stephen Henderson (D);D
2000;N00006776;James Cavuoto (D);D
2000;N00001303;Michael Stephen Levinson (R);R
2000;N00000482;William P Clarke (3);3
2000;N00001771;Donald W Riegle Jr (D);D
2000;N00004495;Dick Franson (D);D
2000;N00004451;Stephen Bonsal Young (R);R
2000;N00004441;Monti A Moreno (R);R
