400001,HI,Not Voting,Neil Abercrombie,Democrat
400003,NY,Present,Gary Ackerman,Democrat
400004,AL,Present,Robert Aderholt,Republican
400005,MO,Present,Todd Akin,Republican
400006,LA,Present,Rodney Alexander,Republican
400007,ME,Present,Thomas Allen,Democrat
400008,NJ,Present,Robert Andrews,Democrat
400009,CA,Present,Joe Baca,Democrat
400010,AL,Present,Spencer Bachus,Republican
400011,WA,Not Voting,Brian Baird,Democrat
400013,WI,Present,Tammy Baldwin,Democrat
400016,SC,Present,James “J. Gresham” Barrett,Republican
400017,MD,Present,Roscoe Bartlett,Republican
400018,TX,Present,Joe Barton,Republican
400021,CA,Present,Xavier Becerra,Democrat
400024,NV,Present,Shelley Berkley,Democrat
400025,CA,Present,Howard Berman,Democrat
400026,AR,Present,Robert Berry,Democrat
400027,IL,Present,Judy Biggert,Republican
400029,UT,Present,Rob Bishop,Republican
400030,GA,Present,Sanford Bishop,Democrat
400031,NY,Present,Timothy Bishop,Democrat
400032,TN,Present,Marsha Blackburn,Republican
400033,OR,Not Voting,Earl Blumenauer,Democrat
400034,MO,Present,Roy Blunt,Republican
400036,OH,Present,John Boehner,Republican
400038,AL,Present,Jo Bonner,Republican
400039,CA,Not Voting,Mary Bono Mack,Republican
400040,AR,Present,John Boozman,Republican
400042,IA,Present,Leonard Boswell,Democrat
400043,VA,Present,Frederick Boucher,Democrat
400044,FL,Present,Allen Boyd,Democrat
400046,TX,Present,Kevin Brady,Republican
400047,PA,Present,Robert Brady,Democrat
400048,FL,Present,Corrine Brown,Democrat
400049,SC,Present,Henry Brown,Republican
400051,FL,Present,Virginia Brown-Waite,Republican
400052,TX,Present,Michael Burgess,Republican
400055,IN,Present,Dan Burton,Republican
400056,IN,Present,Stephen Buyer,Republican
400057,CA,Present,Ken Calvert,Republican
400058,MI,Present,Dave Camp,Republican
400059,UT,Present,Christopher Cannon,Republican
400060,VA,Present,Eric Cantor,Republican
400061,WV,Present,Shelley Capito,Republican
400062,CA,Present,Lois Capps,Democrat
400063,MA,Present,Michael Capuano,Democrat
400065,CA,Present,Dennis Cardoza,Democrat
400068,TX,Not Voting,John Carter,Republican
400070,DE,Present,Michael Castle,Republican
400071,OH,Present,Steve Chabot,Republican
400074,MO,Present,Lacy Clay,Democrat
400075,SC,Present,James Clyburn,Democrat
400076,NC,Present,Howard Coble,Republican
400077,OK,Not Voting,Tom Cole,Republican
400080,MI,Present,John Conyers,Democrat
400081,TN,Present,Jim Cooper,Democrat
400082,IL,Present,Jerry Costello,Democrat
400084,AL,Not Voting,Robert Cramer,Democrat
400086,FL,Present,Ander Crenshaw,Republican
400087,NY,Present,Joseph Crowley,Democrat
400088,WY,Present,Barbara Cubin,Republican
400089,TX,Present,John Culberson,Republican
400090,MD,Present,Elijah Cummings,Democrat
400092,AL,Present,Artur Davis,Democrat
400093,IL,Present,Danny Davis,Democrat
400096,TN,Present,Lincoln Davis,Democrat
400097,CA,Present,Susan Davis,Democrat
400098,VA,Not Voting,Thomas Davis,Republican
400099,GA,Present,Nathan Deal,Republican
400100,OR,Not Voting,Peter DeFazio,Democrat
400101,CO,Present,Diana DeGette,Democrat
400102,MA,Present,William Delahunt,Democrat
400103,CT,Present,Rosa DeLauro,Democrat
400107,FL,Present,Lincoln Diaz-Balart,Republican
400108,FL,Present,Mario Diaz-Balart,Republican
400109,WA,Present,Norman Dicks,Democrat
400110,MI,Present,John Dingell,Democrat
400111,TX,Present,Lloyd Doggett,Democrat
400113,CA,Not Voting,John Doolittle,Republican
400114,PA,Not Voting,Michael Doyle,Democrat
400115,CA,Present,David Dreier,Republican
400116,TN,Present,John Duncan,Republican
400118,TX,Present,Thomas Edwards,Democrat
400119,MI,Present,Vernon Ehlers,Republican
400120,IL,Present,Rahm Emanuel,Democrat
400121,MO,Not Voting,Jo Ann Emerson,Republican
400122,NY,Present,Eliot Engel,Democrat
400123,PA,Present,Philip English,Republican
400124,CA,Present,Anna Eshoo,Democrat
400125,NC,Present,Bob Etheridge,Democrat
400127,AL,Present,Terry Everett,Republican
400129,CA,Present,Sam Farr,Democrat
400130,PA,Present,Chaka Fattah,Democrat
