year;CID;name;party
2008;N00003042;Bud Cramer (D);D
2008;N00009570;Artur Davis (D);D
2008;N00009571;Mike Ross (D);D
2008;N00007632;Eni F H Faleomavaega (D);D
2008;N00009573;Jeff Flake (R);R
2008;N00009575;Gene Paul Scharer (D);D
2008;N00007382;Tom Lantos (D);D
2008;N00007556;John T Doolittle (R);R
2008;N00012611;Mike Honda (D);D
2008;N00006887;Timothy Charles Kalemkarian (R);R
2008;N00009585;Adam Schiff (D);D
2008;N00009586;Hilda L Solis (D);D
2008;N00006700;Mervin L Evans (D);D
2008;N00024946;Noel Irwin Hentschel (R);R
2008;N00012840;Vernon Van (R);R
2008;N00012616;Martin J Collen (R);R
2008;N00009597;Jon Gordon (D);D
2008;N00013581;John C Barker (R);R
2008;N00007017;Darrell Issa (R);R
2008;N00012618;Bill Morrow (R);R
2008;N00009604;Susan A Davis (D);D
2008;N00009608;Rob Simmons (R);R
2008;N00000615;Rosa L DeLauro (D);D
2008;N00013151;Stephanie Sanchez (D);D
2008;N00009086;Gary A Franks (R);R
2008;N00001692;Eleanor Holmes Norton (D);D
2008;N00012739;Ander Crenshaw (R);R
2008;N00009614;Ric Keller (R);R
2008;N00002877;E Clay Shaw Jr (R);R
2008;N00009618;Adam H Putnam (R);R
2008;N00002858;Ileana Ros-Lehtinen (R);R
2008;N00013262;Joyce Marie Griggs (D);D
2008;N00002599;John Linder (R);R
2008;N00002525;Alfred Wiley Beverly (R);R
2008;N00009635;Jim Marshall (D);D
2008;N00007615;Matthew M Matsunaga (D);D
2008;N00013269;Mike Gabbard (R);R
2008;N00004255;Jim Nussle (R);R
2008;N00009637;C L (Butch) Otter (R);R
2008;N00012539;Mark Kirk (R);R
2008;N00012890;Timothy V Johnson (R);R
2008;N00004905;Don Manzullo (R);R
2008;N00009652;Jeffrey William Colyer (R);R
2008;N00012933;Roger Thoney (R);R
2008;N00003473;Hal Rogers (R);R
2008;N00009660;Steve Scalise (R);R
2008;N00005353;William J Jefferson (D);D
2008;N00005372;Billy Tauzin (R);R
2008;N00000275;Barney Frank (D);D
2008;N00001805;Connie Morella (R);R
2008;N00013688;John Emerick (3);3
2008;N00009668;Mike Rogers (R);R
2008;N00008086;Dave Camp (R);R
2008;N00004093;Alan Lee Cropsey (R);R
2008;N00004033;Dennis M Hertel (D);D
2008;N00004484;Jim Ramstad (R);R
2008;N00012942;Betty McCollum (D);D
2008;N00013101;Steven G (Steve) Novak (D);D
2008;N00005181;Russ Carnahan (D);D
2008;N00012460;William L Clay Jr (D);D
2008;N00009676;Gene McNary (R);R
2008;N00009677;Todd Akin (R);R
2008;N00013323;Sam Graves (R);R
2008;N00004645;Denny Rehberg (R);R
2008;N00013408;Bob Bevill (R);R
2008;N00000423;Charles Bass (R);R
2008;N00000826;Robert E Andrews (D);D
2008;N00000716;Donald M Payne (D);D
2008;N00012772;John Kelly (D);D
2008;N00012560;Jon Porter (R);R
2008;N00013345;Steve Israel (D);D
2008;N00009692;Una S Clarke (D);D
2008;N00001813;Jose E Serrano (D);D
2008;N00012775;John Cranley (D);D
2008;N00003677;Bob McEwen (R);R
2008;N00003725;Dave Hobson (R);R
2008;N00003675;John Boehner (R);R
2008;N00011766;Mort W Meier (D);D
2008;N00022802;Bob Shamansky (D);D
2008;N00009699;Patrick J Tiberi (R);R
2008;N00007730;John Sweeney (D);D
2008;N00001569;Thomas M Foglietta (D);D
2008;N00009714;Matthew T Mangino (D);D
2008;N00009715;Melissa Hart (R);R
2008;N00001509;Paul E Kanjorski (D);D
2008;N00001371;William J Coyne (D);D
2008;N00009719;Todd Platts (R);R
2008;N00009723;Jose A Hernandez-Mayoral (D);D
2008;N00000349;Rodney D Driver (I);I
2008;N00009724;Jim Langevin (D);D
2008;N00002428;Henry Brown (R);R
2008;N00003195;David H Dunaway (D);D
2008;N00005645;Ralph Hall (R);R
2008;N00009736;John Mark Brewer (R);R
2008;N00009738;John Culberson (R);R
2008;N00013069;Joe Vu (R);R
2008;N00009753;Jim Matheson (D);D
2008;N00013208;Derek W Smith (R);R
2008;N00013078;Jo Ann Davis (R);R
2008;N00013131;Eric Cantor (R);R
2008;N00002083;Jim Moran (D);D
2008;N00009759;Rick Larsen (D);D
2008;N00004426;Tom Petri (R);R
2008;N00009768;Mark Allen Hunt (D);D
2008;N00009771;Shelley Moore Capito (R);R
2008;N00025330;Jo Bonner (R);R
2008;N00025369;Chris Pringle (R);R
2008;N00025421;Judy McCain Belk (D);D
2008;N00003083;Terry Everett (R);R
2008;N00024759;Mike D Rogers (R);R
2008;N00008091;Spencer Bachus (R);R
2008;N00013816;James Paul Hendren (R);R
2008;N00013809;Michael Carl Hathorn (D);D
2008;N00013873;John Boozman (R);R
2008;N00024931;Rick Renzi (R);R
2008;N00006486;Jim Kolbe (R);R
2008;N00006397;Ed Pastor (D);D
2008;N00025509;Scott Bundgaard (R);R
2008;N00025147;Larry King (D);D
2008;N00025284;Raul M Grijalva (D);D
2008;N00007458;Lynn Woolsey (D);D
2008;N00024924;William Warner Kirby (I);I
2008;N00007447;Joe Nation (D);D
2008;N00007516;Richard W Pombo (R);R
2008;N00024979;Maad Abu-Ghazalah (D);D
2008;N00024874;Dennis Cardoza (D);D
2008;N00007507;George Radanovich (R);R
2008;N00013833;Donald Ernest Regan (R);R
2008;N00007286;Phillip D Wyman (R);R
2008;N00006882;Buck Mckeon (R);R
2008;N00008094;Howard L Berman (D);D
2008;N00006750;Jane Harman (D);D
2008;N00009774;Xavier Becerra (D);D
2008;N00003224;Charles Gordon Vick (D);D
2008;N00013738;Kevin Murray (D);D
2008;N00013743;Leo James Terrell (D);D
2008;N00013744;Diane E Watson (D);D
2008;N00006671;Lucille Roybal-Allard (D);D
2008;N00007099;Ken Calvert (R);R
2008;N00006825;Peter Mathews (D);D
2008;N00024870;Linda Sanchez (D);D
2008;N00006983;Duncan Hunter (R);R
2008;N00007009;Ron Packard (R);R
2008;N00025089;Louis Vandenberg (D);D
