CID,name
N00027415,David Brownlow
N00028923,Patrick McGonegal
N00028924,Jim McCoy
N00028925,WilliamToddLong
N00028926,William Satterwhite
N00028927,Peter Kuhnert
N00028928,Bennie Kyle
N00028929,Rob Hubler
N00028930,Emperor Caesar
N00028931,Ole' Savior
N00028932,Tony Vintinner
N00028933,Thomas Vilsack
N00028934,EdwardAllanBuck
N00005244,Sam Brownback
N00028936,Michael Beardsley
N00028937,Toney
N00028938,Vincent Martinez
N00026020,Eleanor Garcia
N00025687,BrianRussellBrown
N00026413,John Borling
N00009301,Laura Garza
N00006692,Barbara Boxer
N00003762,Evan Bayh
N00013857,Barry Finegold
N00000429,DeborahArnieArnesen
N00009855,Temperance Lance-Council
N00028951,Michael Todd
N00028952,Loren Collins
N00004495,Dick Franson
N00028945,Ned Lauver
N00028946,Vernon Jones
N00028947,MichaelPaulJingozian
N00028948,JohnTaylorBowles
N00028949,Deshon Pocter
N00028950,Joe Honeychurch
N00026411,Piotr Blass
N00009638,Barack Obama
N00001557,Stephen Freind
N00028968,JosephFelixLeonaitis
N00028982,WalterDonaldKennedy
N00003042,Bud Cramer
N00026293,Jamie Metzl
N00026297,Nancy Thompson
N00026301,Tami Mars
N00026305,Sue Helm
N00026340,Lisa Quigley
N00009570,Artur Davis
N00026824,Albert Turner
N00027188,James Clymer
N00012539,Mark Kirk
N00012560,Jon Porter
N00012601,Ron Unz
N00012605,James Treffinger
N00007017,Darrell Issa
N00002962,James King
N00004645,Denny Rehberg
N00000910,Abraham Hirschfeld
N00000854,William Gormley
N00007836,Maria Cantwell
N00012607,Rod Martin
N00012611,Mike Honda
N00012613,Jerry Doyle
N00012615,RodolfoGomezFavila
N00012616,Martin Collen
N00012618,Bill Morrow
N00027502,Thomas Kean
N00012669,Corrogan Vaughn
N00012672,Steve Pearce
N00012739,Ander Crenshaw
N00012772,John Kelly
N00012774,Felix Grucci
N00012781,Jack Machek
N00012787,William Bernstein
N00012796,Mike Garza
N00012803,Alfonzo Jones
N00012840,Vernon Van
N00012878,James Donovan
N00012903,Philip Giordano
N00012933,Roger Thoney
N00012941,ChristopherBrienColeman
N00012942,Betty McCollum
N00012950,Geoffrey Yoste
N00012968,Sam Neill
N00012970,Tom Osborne
N00013002,EricDeanTroutt
N00013078,JoAnnDavis
N00013101,Steven(Steve)Novak
N00013114,Walter McCaffrey
N00013131,Eric Cantor
N00013140,Johnny Swanson
N00013142,Jack Robinson
N00007779,Brian Boquist
N00026158,Bev Kilmer
N00026165,Joan Barry
N00026169,John Fleming
N00026173,Kate Hanley
N00026181,Charles Berry
N00025139,James Snyder
N00026112,Lanakila Washington
N00026253,Steven Rauschenberger
N00026261,BrianDouglasPaasch
N00026267,Robb Rourke
N00024757,Richter Elser
N00024759,Mike Rogers
N00024766,William Sinnott
N00024770,Mike Michaud
N00024773,Stephanie Herseth
N00024777,Ginny Brown-Waite
N00024780,Jeffrey Ballenger
N00024782,Michael Cloud
N00026275,Mark Risley
N00026277,Brett Wagner
N00026279,Reza Torchizy
N00026281,Rick Bell
N00026283,Joanna Conti
N00026285,PatrickJohnMcNamara
N00026289,Kris Kobach
N00026295,Jack Flynn
N00026299,Edward Herman
N00026303,Joseph Torsella
N00026338,DaleWilliamMorfey
N00026342,Ruben Garcia
N00026221,David Gill
N00026393,Richard Morrison
N00026598,DavidOmarStowell
N00026885,Dave Reichert
N00027252,MatthewAngusWilliams
N00001109,Al Sharpton
N00024842,Joe Courtney
N00027493,Michele Bachmann
N00009714,Matthew Mangino
N00027414,TyramHunterPettit
N00002556,Mac Collins
N00024857,John Courage
N00027616,Robin Carnahan
N00027618,Steve Kagen
N00027620,HerbertRayRubenstein
N00012577,Curtis Clinesmith
N00013743,LeoJamesTerrell
N00025431,Jim Condit
N00027631,Steve Young
N00027633,BrianChavez-O'Choa
N00027634,Steve Filson
N00027635,Frank Amador
N00027636,Marilyn Brewer
N00027637,Kathy McCarrell
N00027638,Jeeni Criscenzo
N00027639,Mark Wyland
N00027640,Jim Hester
N00027641,KarenMarieOtter
N00027642,Jay Fawcett
N00027643,Andy Michaud
N00027644,Bill Sali
N00027645,LindBraswellScott
N00027646,Zane Smith
N00027647,ThomasEldonHayhurst
N00009571,Mike Ross
N00012508,Tom Carper
N00012526,John Graham
N00024855,CecilPopeStaton
N00028631,Brian Moore
N00026106,DebbieWassermanSchultz
N00026142,Jerry Brooks
N00026249,Charles Caston
N00026336,CarlAllenCole
N00026776,Elizabeth Rogers
N00027002,Tim Sultan
N00027457,JohnBernardGlassie
N00012890,Timothy Johnson
N00012586,Chris Chocola
N00026187,Wesley Clark
N00026250,Kenneth Hill
N00026272,Jan Judy
N00026337,Marvin Parks
N00026427,Ro Khanna
N00006436,Stan Barnes
