400001,HI,Present,Neil Abercrombie,Democrat
400003,NY,Present,Gary Ackerman,Democrat
400004,AL,Present,Robert Aderholt,Republican
400005,MO,Present,Todd Akin,Republican
400006,LA,Present,Rodney Alexander,Republican
400007,ME,Present,Thomas Allen,Democrat
400008,NJ,Present,Robert Andrews,Democrat
400009,CA,Present,Joe Baca,Democrat
400010,AL,Present,Spencer Bachus,Republican
400011,WA,Present,Brian Baird,Democrat
400012,LA,Present,Richard Baker,Republican
400013,WI,Present,Tammy Baldwin,Democrat
400016,SC,Present,James “J. Gresham” Barrett,Republican
400017,MD,Present,Roscoe Bartlett,Republican
400018,TX,Present,Joe Barton,Republican
400019,NH,Present,Charles Bass,Republican
400020,CO,Present,Bob Beauprez,Republican
400021,CA,Present,Xavier Becerra,Democrat
400024,NV,Present,Shelley Berkley,Democrat
400025,CA,Not Voting,Howard Berman,Democrat
400026,AR,Present,Robert Berry,Democrat
400027,IL,Present,Judy Biggert,Republican
400028,FL,Present,Michael Bilirakis,Republican
400029,UT,Present,Rob Bishop,Republican
400030,GA,Present,Sanford Bishop,Democrat
400031,NY,Present,Timothy Bishop,Democrat
400032,TN,Present,Marsha Blackburn,Republican
400033,OR,Present,Earl Blumenauer,Democrat
400034,MO,Present,Roy Blunt,Republican
400035,NY,Present,Sherwood Boehlert,Republican
400036,OH,Present,John Boehner,Republican
400037,TX,Present,Henry Bonilla,Republican
400038,AL,Present,Jo Bonner,Republican
400039,CA,Present,Mary Bono Mack,Republican
400040,AR,Present,John Boozman,Republican
400042,IA,Present,Leonard Boswell,Democrat
400043,VA,Present,Frederick Boucher,Democrat
400044,FL,Present,Allen Boyd,Democrat
400045,NH,Present,Jeb Bradley,Republican
400046,TX,Present,Kevin Brady,Republican
400047,PA,Not Voting,Robert Brady,Democrat
400048,FL,Present,Corrine Brown,Democrat
400049,SC,Present,Henry Brown,Republican
400050,OH,Present,Sherrod Brown,Democrat
400051,FL,Present,Virginia Brown-Waite,Republican
400052,TX,Present,Michael Burgess,Republican
400055,IN,Present,Dan Burton,Republican
400056,IN,Present,Stephen Buyer,Republican
400057,CA,Present,Ken Calvert,Republican
400058,MI,Present,Dave Camp,Republican
400059,UT,Present,Christopher Cannon,Republican
400060,VA,Present,Eric Cantor,Republican
400061,WV,Present,Shelley Capito,Republican
400062,CA,Present,Lois Capps,Democrat
400063,MA,Present,Michael Capuano,Democrat
400064,MD,Present,Benjamin Cardin,Democrat
400065,CA,Present,Dennis Cardoza,Democrat
400067,IN,Present,Julia Carson,Democrat
400068,TX,Present,John Carter,Republican
400069,HI,Present,Ed Case,Democrat
400070,DE,Present,Michael Castle,Republican
400071,OH,Present,Steve Chabot,Republican
400072,IN,Present,Chris Chocola,Republican
400074,MO,Present,Lacy Clay,Democrat
400075,SC,Present,James Clyburn,Democrat
400076,NC,Present,Howard Coble,Republican
400077,OK,Present,Tom Cole,Republican
400080,MI,Not Voting,John Conyers,Democrat
400081,TN,Present,Jim Cooper,Democrat
400082,IL,Present,Jerry Costello,Democrat
400084,AL,Present,Robert Cramer,Democrat
400086,FL,Present,Ander Crenshaw,Republican
400087,NY,Present,Joseph Crowley,Democrat
400088,WY,Present,Barbara Cubin,Republican
400089,TX,Not Voting,John Culberson,Republican
