CID,name
N00003042,Bud Cramer
N00009570,Artur Davis
N00009571,Mike Ross
N00007632,EniHFaleomavaega
N00009573,Jeff Flake
N00009575,GenePaulScharer
N00007382,Tom Lantos
N00007556,John Doolittle
N00012611,Mike Honda
N00006887,TimothyCharlesKalemkarian
N00009585,Adam Schiff
N00009586,Hilda Solis
N00006700,Mervin Evans
N00024946,NoelIrwinHentschel
N00012840,Vernon Van
N00012616,Martin Collen
N00009597,Jon Gordon
N00013581,John Barker
N00007017,Darrell Issa
N00012618,Bill Morrow
N00009604,Susan Davis
N00009608,Rob Simmons
N00000615,Rosa DeLauro
N00013151,Stephanie Sanchez
N00009086,Gary Franks
N00001692,EleanorHolmesNorton
N00012739,Ander Crenshaw
N00009614,Ric Keller
N00002877,Clay Shaw
N00009618,Adam Putnam
N00002858,Ileana Ros-Lehtinen
N00013262,JoyceMarieGriggs
N00002599,John Linder
N00002525,AlfredWileyBeverly
N00009635,Jim Marshall
N00007615,Matthew Matsunaga
N00013269,Mike Gabbard
N00004255,Jim Nussle
N00009637,L Otter
N00012539,Mark Kirk
N00012890,Timothy Johnson
N00004905,Don Manzullo
N00009652,JeffreyWilliamColyer
N00012933,Roger Thoney
N00003473,Hal Rogers
N00009660,Steve Scalise
N00005353,William Jefferson
N00005372,Billy Tauzin
N00000275,Barney Frank
N00001805,Connie Morella
N00013688,John Emerick
N00009668,Mike Rogers
N00008086,Dave Camp
N00004093,AlanLeeCropsey
N00004033,Dennis Hertel
N00004484,Jim Ramstad
N00012942,Betty McCollum
N00013101,Steven(Steve)Novak
N00005181,Russ Carnahan
N00012460,William Clay
N00009676,Gene McNary
N00009677,Todd Akin
N00013323,Sam Graves
N00004645,Denny Rehberg
N00013408,Bob Bevill
N00000423,Charles Bass
N00000826,Robert Andrews
N00000716,Donald Payne
N00012772,John Kelly
N00012560,Jon Porter
N00013345,Steve Israel
N00009692,Una Clarke
N00001813,Jose Serrano
N00012775,John Cranley
N00003677,Bob McEwen
N00003725,Dave Hobson
N00003675,John Boehner
N00011766,Mort Meier
N00022802,Bob Shamansky
N00009699,Patrick Tiberi
N00007730,John Sweeney
N00001569,Thomas Foglietta
N00009714,Matthew Mangino
N00009715,Melissa Hart
N00001509,Paul Kanjorski
N00001371,William Coyne
N00009719,Todd Platts
N00009723,Jose Hernandez-Mayoral
N00000349,Rodney Driver
N00009724,Jim Langevin
N00002428,Henry Brown
N00003195,David Dunaway
N00005645,Ralph Hall
N00009736,JohnMarkBrewer
N00009738,John Culberson
N00013069,Joe Vu
N00009753,Jim Matheson
N00013208,Derek Smith
N00013078,JoAnnDavis
N00013131,Eric Cantor
N00002083,Jim Moran
N00009759,Rick Larsen
N00004426,Tom Petri
N00009768,MarkAllenHunt
N00009771,ShelleyMooreCapito
N00025330,Jo Bonner
N00025369,Chris Pringle
N00025421,JudyMcCainBelk
N00003083,Terry Everett
N00024759,Mike Rogers
N00008091,Spencer Bachus
N00013816,JamesPaulHendren
N00013809,MichaelCarlHathorn
N00013873,John Boozman
N00024931,Rick Renzi
N00006486,Jim Kolbe
N00006397,Ed Pastor
N00025509,Scott Bundgaard
N00025147,Larry King
N00025284,Raul Grijalva
N00007458,Lynn Woolsey
N00024924,WilliamWarnerKirby
N00007447,Joe Nation
N00007516,Richard Pombo
N00024979,Maad Abu-Ghazalah
N00024874,Dennis Cardoza
N00007507,George Radanovich
N00013833,DonaldErnestRegan
N00007286,Phillip Wyman
N00006882,Buck Mckeon
N00008094,Howard Berman
N00006750,Jane Harman
N00009774,Xavier Becerra
N00003224,CharlesGordonVick
N00013738,Kevin Murray
N00013743,LeoJamesTerrell
N00013744,Diane Watson
N00006671,Lucille Roybal-Allard
N00007099,Ken Calvert
N00006825,Peter Mathews
N00024870,Linda Sanchez
N00006983,Duncan Hunter
N00007009,Ron Packard
N00025089,Louis Vandenberg
N00024792,Alexandria Coronado
N00007021,Juan Vargas
N00007033,Bob Filner
N00006213,Scott McInnis
N00025054,Marilyn Musgrave
N00025214,Mark Baisley
N00006085,DavidJeffreyThomas
N00025408,Rick O'Donnell
N00025443,Bob Beauprez
N00024786,Jeffrey Benedict
N00024803,ShaunMichaelMcNally
N00024842,Joe Courtney
N00024757,Richter Elser
N00000561,Nancy Johnson
N00009775,Michael Castle
N00024851,Tom Feeney
N00013846,Jeff Miller
N00002713,Corrine Brown
N00024777,Ginny Brown-Waite
N00024998,Donald Gessner
N00025750,David Bruderly
N00002793,John Mica
N00002982,Michael Bilirakis
N00013758,Chuck Kalogianis
N00024882,Katherine Harris
N00025314,Jan Schneider
N00002839,Peter Deutsch
N00002856,Carrie Meek
N00025692,Kendrick Meek
N00002872,Lincoln Diaz-Balart
N00002884,Alcee Hastings
N00025337,Mario Diaz-Balart
N00002656,Jack Kingston
N00002674,Sanford Bishop
N00002556,Mac Collins
N00025140,Catherine Davis
N00025138,Denise Majette
N00002598,Tony Center
N00002685,Saxby Chambliss
N00002610,Nathan Deal
N00002511,Cynthia McKinney
N00013790,Clay Cox
N00024760,Phil Gingrey
N00025597,Max Burns
N00024871,David Scott
N00025026,Donzella James
N00024866,Madeleine Bordallo
N00025881,Colleen Hanabusa
N00025882,Ed Case
N00011875,Bill Gluba
N00024780,Jeffrey Ballenger
N00025237,Steven King
N00004887,Bobby Rush
N00004800,Nancy Kaszak
N00024813,Rahm Emanuel
N00024879,Mark Augusti
N00004874,Luis Gutierrez
N00024875,Melissa Bean
N00004939,Thomas Ewing
N00004912,Lane Evans
N00004961,John Shimkus
N00012586,Chris Chocola
N00025603,William Abbott
N00003924,Steve Buyer
N00025327,KatherineFoxCarr
N00000010,Dan Burton
N00013869,Michael Sodrel
N00024862,Geoff Davis
N00025766,Troy Carter
N00013874,John Milkovich
N00025464,Rodney Alexander
N00000143,John Olver
N00000205,Marty Meehan
N00013857,Barry Finegold
N00025274,Chuck McCarthy
N00013855,Stephen Lynch
N00009866,Larry(VicePres)Reed
N00024766,William Sinnott
