CID,name
N00009918,Patrick Leahy
N00025446,Vij Pawar
N00002802,ClayOliverHill
N00005963,Michael Idrogo
N00007021,JuanCarlosVargas
N00009817,Dick Zimmer
N00002281,ThomasFrancisWinterbottom
N00006201,Anthony Martinez
N00012826,Randall Weissbuch
N00025282,BillyRayWilson
N00025522,Charles McPeek
N00008943,William Hall
N00009934,JamesBrianGibson
N00011338,GordonLeeAnderson
N00015884,Mark Cohen
N00001671,Samuel Hoff
N00005331,Doug Bereuter
N00000584,DavidJohnMorascini
N00012874,DanielRichardVaughen
N00007624,Robert Bunda
N00006700,MervinLeonEvans
N00012568,Edwin Irizarry
N00006326,RaymondToddNeilson
N00012840,Vernon Van
N00015389,Roland Burris
N00006359,GaryVanHorn
N00004663,Mike Fellows
N00006887,TimothyCharlesKalemkarian
N00025733,Frank Carter
N00003647,James Traficant
N00004428,Bob Welch
N00005653,Stephen Masterson
N00000019,Hillary Clinton
N00015205,Charles Broomfield
N00012846,Keith Gann
N00006692,Barbara Boxer
N00026157,Jim Brandt
N00024803,Shaun McNally
N00005449,StephenJeanCopley
N00008008,Frank Vondersaar
N00024949,Gene Koprowski
N00005855,John Devine
N00013581,JohnCharlesBarker
N00025242,Pete Tabb
N00003839,Steve Hope
N00009453,David Funderburk
N00006276,Jim Pratt
N00007994,Theresa Obermeyer
N00004285,Eugene Hem
N00026035,Sophie Mataafa
N00000963,Simeon Golar
N00013685,Ronald Graeser
N00013369,Lester Searer
N00007591,Kip Lee
N00027457,JohnBernardGlassie
N00003728,Frank Cremeans
N00026158,Bev Kilmer
N00001624,Joseph McColgan
N00026249,Charles Caston
N00024772,Andy Coy
N00009858,MatthewJonKlemmensen
N00026426,Renn Vara
N00012869,Michael Benoit
N00025471,John Hogan
N00013110,Jack Graziano
N00027445,TimothyJohnRobb
N00025743,Jim Rogers
N00005276,StevenArthurRosile
N00005131,Jeff Bailey
N00007620,LloydJeffreyMallan
N00003585,Robert Saffold
N00013309,Anthony America
N00003458,Tom Barlow
N00000224,MichaelRossTunickStrauss
N00027308,MarcJosephMillican
N00003574,MaryRoseOakar
N00026159,Joe Simonetta
N00002776,Richard Grayson
N00026250,Kenneth Hill
N00026271,Steve Novick
N00011971,Daniel Lungren
N00026427,Ro Khanna
N00012882,Raymond Wardingley
N00025666,James Sykes
N00013186,SharonWandaHarrell
N00025316,Denny Heath
N00004298,Douglas Lafollette
N00013708,Bob Batchelder
N00025202,Guy McLendon
N00002502,Jim Boyd
N00006740,PaulHenryRichards
N00012956,AlbertLeeWiley
N00011406,George Weber
N00018928,Kevin Johns
N00025527,Darla Maloney
N00027002,Tim Sultan
N00027004,JonathanWaltonAmbler
