person,state,district,vote,name,party
400405,KS,4,Present,"Rep. Todd Tiahrt [R, 1995-2010]",Republican
400406,OH,12,Present,"Rep. Patrick “Pat” Tiberi [R, 2001-2018]",Republican
400407,MA,6,Present,"Rep. John Tierney [D, 1997-2014]",Democrat
400409,NY,10,Present,"Rep. Edolphus “Ed” Towns [D, 1993-2012]",Democrat
400411,OH,3,Present,"Rep. Michael Turner [R, 2003-2012]",Republican
400412,CO,2,Present,"Rep. Mark Udall [D, 1999-2008]",Democrat
400413,NM,3,Present,"Rep. Tom Udall [D, 1999-2008]",Democrat
400414,MI,6,Present,"Rep. Fred Upton [R, 1993-2018]",Republican
400415,MD,8,Present,"Rep. Chris Van Hollen Jr. [D, 2003-2016]",Democrat
400416,NY,12,Present,"Rep. Nydia Velázquez [D, 1993-2012]",Democrat
400417,IN,1,Present,"Rep. Peter Visclosky [D, 1985-2018]",Democrat
400419,OR,2,Present,"Rep. Greg Walden [R, 1999-2018]",Republican
400420,NY,25,Present,"Rep. James “Jim” Walsh [R, 1993-2008]",Republican
400421,TN,3,Present,"Rep. Zach Wamp [R, 1995-2010]",Republican
400422,CA,35,Present,"Rep. Maxine Waters [D, 1993-2012]",Democrat
400423,CA,33,Not Voting,"Rep. Diane Watson [D, 2003-2010]",Democrat
400424,NC,12,Present,"Rep. Melvin “Mel” Watt [D, 1993-2014]",Democrat
400425,CA,30,Present,"Rep. Henry Waxman [D, 2003-2012]",Democrat
400426,NY,9,Present,"Rep. Anthony Weiner [D, 1999-2011]",Democrat
400427,FL,15,Not Voting,"Rep. David “Dave” Weldon Jr. [R, 1995-2008]",Republican
400428,PA,7,Present,"Rep. Curtis “Curt” Weldon [R, 1987-2006]",Republican
400429,IL,11,Present,"Rep. Gerald “Jerry” Weller [R, 1995-2008]",Republican
400430,FL,19,Present,"Rep. Robert Wexler [D, 1997-2010]",Democrat
400431,KY,1,Present,"Rep. Ed Whitfield [R, 1995-2016]",Republican
400432,MS,1,Present,"Rep. Roger Wicker [R, 1995-2007]",Republican
400433,SC,2,Present,"Rep. Joe Wilson [R, 2001-2018]",Republican
400434,NM,1,Present,"Rep. Heather Wilson [R, 1998-2008]",Republican
400435,VA,10,Present,"Rep. Frank Wolf [R, 1981-2014]",Republican
400436,CA,6,Present,"Rep. Lynn Woolsey [D, 1993-2012]",Democrat
400437,OR,1,Present,"Rep. David Wu [D, 1999-2011]",Democrat
400438,MD,4,Present,"Rep. Albert Wynn [D, 1993-2008]",Democrat
400439,FL,10,Present,"Rep. W. Bill Young [R, 1993-2012]",Republican
400440,AK,0,Present,"Rep. Don Young [R, 1973-2018]",Republican
400441,TX,19,Present,"Rep. Randy Neugebauer [R, 2003-2016]",Republican
400442,KY,6,Present,"Rep. Ben Chandler [D, 2004-2012]",Democrat
400443,SD,0,Present,"Rep. Stephanie Herseth Sandlin [D, 2004-2010]",Democrat
400513,GA,4,Present,"Rep. Cynthia McKinney [D, 2005-2006]",Democrat
400616,NC,1,Not Voting,"Rep. George “G.K.” Butterfield Jr. [D, 2004-2018]",Democrat
400617,CA,3,Present,"Rep. Daniel Lungren [R, 2005-2012]",Republican
400618,CA,20,Present,"Rep. Jim Costa [D, 2005-2012]",Democrat
400620,CO,3,Present,"Rep. John Salazar [D, 2005-2010]",Democrat
400622,FL,14,Present,"Rep. Connie Mack IV [R, 2005-2012]",Republican
400623,FL,20,Present,"Rep. Debbie Wasserman Schultz [D, 2005-2012]",Democrat
400626,GA,6,Present,"Rep. Tom Price [R, 2005-2017]",Republican
400627,GA,8,Present,"Rep. Lynn Westmoreland [R, 2005-2006]",Republican
400628,GA,12,Present,"Rep. John Barrow [D, 2005-2014]",Democrat
400630,IL,3,Present,"Rep. Daniel Lipinski [D, 2005-2018]",Democrat
400631,IL,8,Present,"Rep. Melissa Bean [D, 2005-2010]",Democrat
400632,IN,9,Present,"Rep. Michael Sodrel [R, 2005-2006]",Republican
400633,KY,4,Present,"Rep. Geoff Davis [R, 2005-2012]",Republican
400634,LA,1,Present,"Rep. Bobby Jindal [R, 2005-2008]",Republican
400635,LA,3,Not Voting,"Rep. Charles Melancon [D, 2005-2010]",Democrat
400636,LA,7,Present,"Rep. Charles Boustany Jr. [R, 2005-2012]",Republican
400637,MI,7,Present,"Rep. John “Joe” Schwarz [R, 2005-2006]",Republican
400638,MO,3,Present,"Rep. Russ Carnahan [D, 2005-2012]",Democrat
400639,MO,5,Present,"Rep. Emanuel Cleaver II [D, 2005-2018]",Democrat
400640,NE,1,Present,"Rep. Jeff Fortenberry [R, 2005-2018]",Republican
400641,NY,27,Present,"Rep. Brian Higgins [D, 2005-2012]",Democrat
400642,NY,29,Present,"Rep. John “Randy” Kuhl Jr. [R, 2005-2008]",Republican
400643,NC,5,Present,"Rep. Virginia Foxx [R, 2005-2018]",Republican
400644,NC,10,Present,"Rep. Patrick McHenry [R, 2005-2018]",Republican
400645,OK,2,Present,"Rep. Dan Boren [D, 2005-2012]",Democrat
400646,PA,8,Present,"Rep. Michael Fitzpatrick [R, 2005-2006]",Republican
400647,PA,13,Present,"Rep. Allyson Schwartz [D, 2005-2014]",Democrat
400648,PA,15,Present,"Rep. Charles Dent [R, 2005-2018]",Republican
400649,SC,4,Present,"Rep. Bob Inglis [R, 2005-2010]",Republican
400651,TX,1,Present,"Rep. Louie Gohmert Jr. [R, 2005-2018]",Republican
400652,TX,2,Present,"Rep. Ted Poe [R, 2005-2018]",Republican
400653,TX,9,Present,"Rep. Al Green [D, 2005-2018]",Democrat
400654,TX,10,Present,"Rep. Michael McCaul [R, 2005-2018]",Republican
400655,TX,11,Present,"Rep. Michael Conaway [R, 2005-2018]",Republican
400656,TX,24,Present,"Rep. Kenny Marchant [R, 2005-2018]",Republican
400657,TX,28,Present,"Rep. Henry Cuellar [D, 2005-2018]",Democrat
400658,VA,2,Present,"Rep. Thelma Drake [R, 2005-2008]",Republican
400659,WA,5,Present,"Rep. Cathy McMorris Rodgers [R, 2005-2018]",Republican
400660,WA,8,Present,"Rep. David Reichert [R, 2005-2018]",Republican
400661,WI,4,Present,"Rep. Gwen Moore [D, 2005-2018]",Democrat
400663,CA,5,Present,"Rep. Doris Matsui [D, 2005-2012]",Democrat
409888,PA,9,Present,"Rep. Bill Shuster [R, 2001-2018]",Republican
412010,OH,2,Present,"Rep. Jean Schmidt [R, 2005-2012]",Republican
412011,CA,48,Present,"Rep. John Campbell III [R, 2005-2012]",Republican
