year;CID;name;party
2006;N00027415;David M Brownlow (3);3
2006;N00028923;Patrick McGonegal (I);I
2006;N00028924;Jim McCoy (D);D
2006;N00028925;William Todd Long (R);R
2006;N00028926;William Satterwhite (U);U
2006;N00028927;Peter Kuhnert (3);3
2006;N00028928;Bennie Kyle (I);I
2006;N00028929;Rob Hubler (D);D
2006;N00028930;Emperor Caesar (D);D
2006;N00028931;Ole' Savior (D);D
2006;N00028932;Tony W Vintinner (D);D
2006;N00028933;Thomas J Vilsack (D);D
2006;N00028934;Edward Allan Buck (R);R
2006;N00005244;Sam Brownback (R);R
2006;N00028936;Michael A Beardsley (R);R
2006;N00028937;S Toney (I);I
2006;N00028938;Vincent E Martinez (R);R
2006;N00026020;Eleanor Garcia (3);3
2006;N00025687;Brian Russell Brown (I);I
2006;N00026413;John L Borling (I);I
2006;N00009301;Laura Garza (3);3
2006;N00006692;Barbara Boxer (D);D
2006;N00003762;Evan Bayh (D);D
2006;N00013857;Barry R Finegold (D);D
2006;N00000429;Deborah Arnie Arnesen (D);D
2006;N00009855;Temperance Lance-Council (U);U
2006;N00028951;Michael Todd (D);D
2006;N00028952;Loren Collins (I);I
2006;N00004495;Dick Franson (D);D
2006;N00028945;Ned W Lauver (D);D
2006;N00028946;Vernon Jones (D);D
2006;N00028947;Michael Paul Jingozian (L);L
2006;N00028948;John Taylor Bowles (3);3
2006;N00028949;Deshon Pocter (I);I
2006;N00028950;Joe Honeychurch (R);R
2006;N00026411;Piotr Blass (I);I
2006;N00009638;Barack Obama (D);D
2006;N00001557;Stephen F Freind (R);R
2006;N00028968;Joseph Felix Leonaitis (3);3
2006;N00028982;Walter Donald Kennedy (U);U
2006;N00003042;Bud Cramer (D);D
2006;N00026293;Jamie Metzl (D);D
2006;N00026297;Nancy Thompson (D);D
2006;N00026301;Tami L Mars (R);R
2006;N00026305;Sue Helm (R);R
2006;N00026340;Lisa Quigley (D);D
2006;N00009570;Artur Davis (D);D
2006;N00026824;Albert Turner (D);D
2006;N00027188;James N Clymer (3);3
2006;N00012539;Mark Kirk (R);R
2006;N00012560;Jon Porter (R);R
2006;N00012601;Ron Unz (R);R
2006;N00012605;James W Treffinger (R);R
2006;N00007017;Darrell Issa (R);R
2006;N00002962;James H King (R);R
2006;N00004645;Denny Rehberg (R);R
2006;N00000910;Abraham Hirschfeld (R);R
2006;N00000854;William L Gormley (R);R
2006;N00007836;Maria Cantwell (D);D
2006;N00012607;Rod D Martin (R);R
2006;N00012611;Mike Honda (D);D
2006;N00012613;Jerry Doyle (R);R
2006;N00012615;Rodolfo Gomez Favila  (D);D
2006;N00012616;Martin J Collen (R);R
2006;N00012618;Bill Morrow (R);R
2006;N00027502;Thomas H Kean Jr (R);R
2006;N00012669;Corrogan R Vaughn (R);R
2006;N00012672;Steve Pearce (R);R
2006;N00012739;Ander Crenshaw (R);R
2006;N00012772;John Kelly (D);D
2006;N00012774;Felix J Grucci Jr (R);R
2006;N00012781;Jack M Machek  (D);D
2006;N00012787;William H Bernstein  (D);D
2006;N00012796;Mike Garza  (R);R
2006;N00012803;Alfonzo Jones  (D);D
2006;N00012840;Vernon Van (R);R
2006;N00012878;James M Donovan (R);R
2006;N00012903;Philip A Giordano (R);R
2006;N00012933;Roger Thoney (R);R
2006;N00012941;Christopher Brien Coleman (D);D
2006;N00012942;Betty McCollum (D);D
2006;N00012950;Geoffrey Yoste (R);R
2006;N00012968;Sam Neill (D);D
2006;N00012970;Tom Osborne (R);R
2006;N00013002;Eric Dean Troutt (R);R
2006;N00013078;Jo Ann Davis (R);R
2006;N00013101;Steven G (Steve) Novak (D);D
2006;N00013114;Walter L McCaffrey (D);D
2006;N00013131;Eric Cantor (R);R
2006;N00013140;Johnny Swanson III (I);I
2006;N00013142;Jack E Robinson (R);R
2006;N00007779;Brian Boquist (R);R
2006;N00026158;Bev Kilmer (R);R
2006;N00026165;Joan Barry (D);D
2006;N00026169;John J Fleming (R);R
2006;N00026173;Kate Hanley (D);D
2006;N00026181;Charles E Berry (D);D
2006;N00025139;James E Snyder Jr (R);R
2006;N00026112;Lanakila Washington (I);I
2006;N00026253;Steven J Rauschenberger (R);R
2006;N00026261;Brian Douglas Paasch (R);R
2006;N00026267;Robb O Rourke (R);R
2006;N00024757;Richter (Rick) Elser (R);R
2006;N00024759;Mike D Rogers (R);R
2006;N00024766;William F Sinnott (D);D
2006;N00024770;Mike Michaud (D);D
2006;N00024773;Stephanie Herseth (D);D
2006;N00024777;Ginny Brown-Waite (R);R
2006;N00024780;Jeffrey A Ballenger (R);R
2006;N00024782;Michael Cloud (L);L
2006;N00026275;Mark Risley (R);R
2006;N00026277;Brett Wagner (D);D
2006;N00026279;Reza Torchizy (R);R
2006;N00026281;Rick Bell (D);D
2006;N00026283;Joanna Conti (D);D
2006;N00026285;Patrick John McNamara (D);D
2006;N00026289;Kris Kobach (R);R
2006;N00026295;Jack Flynn (D);D
2006;N00026299;Edward F Herman (R);R
2006;N00026303;Joseph M Torsella (D);D
2006;N00026338;Dale William Morfey (I);I
2006;N00026342;Ruben Garcia (R);R
2006;N00026221;David Gill (D);D
2006;N00026393;Richard Morrison (D);D
2006;N00026598;David Omar Stowell (I);I
2006;N00026885;Dave Reichert (R);R
2006;N00027252;Matthew Angus Williams (I);I
2006;N00001109;Al Sharpton (D);D
2006;N00024842;Joe Courtney (D);D
2006;N00027493;Michele Bachmann (R);R
2006;N00009714;Matthew T Mangino (D);D
2006;N00027414;Tyram Hunter Pettit (D);D
2006;N00002556;Mac Collins (R);R
2006;N00024857;John Courage (D);D
2006;N00027616;Robin Carnahan (D);D
2006;N00027618;Steve Kagen (D);D
2006;N00027620;Herbert Ray Rubenstein (D);D
2006;N00012577;Curtis E Clinesmith (D);D
2006;N00013743;Leo James Terrell (D);D
2006;N00025431;Jim Condit Jr (3);3
2006;N00027631;Steve Young (D);D
2006;N00027633;Brian Chavez- O'Choa (R);R
2006;N00027634;Steve N Filson (D);D
2006;N00027635;Frank Amador (D);D
2006;N00027636;Marilyn Brewer (R);R
2006;N00027637;Kathy McCarrell (D);D
2006;N00027638;Jeeni Criscenzo (D);D
2006;N00027639;Mark Wyland (R);R
2006;N00027640;Jim Hester (D);D
2006;N00027641;Karen Marie Otter (D);D
2006;N00027642;Jay Fawcett (D);D
2006;N00027643;Andy Michaud (D);D
2006;N00027644;Bill Sali (R);R
2006;N00027645;Lind Braswell Scott (D);D
2006;N00027646;Zane Smith (D);D
2006;N00027647;Thomas Eldon Hayhurst (D);D
2006;N00009571;Mike Ross (D);D
2006;N00012508;Tom Carper (D);D
2006;N00012526;John L Graham (D);D
2006;N00024855;Cecil Pope Staton Jr (R);R
2006;N00028631;Brian Moore (I);I
2006;N00026106;Debbie Wasserman Schultz (D);D
2006;N00026142;Jerry W Brooks (R);R
2006;N00026249;Charles Caston (U);U
2006;N00026336;Carl Allen Cole III (D);D
2006;N00026776;Elizabeth Rogers (D);D
2006;N00027002;Tim Sultan (D);D
2006;N00027457;John Bernard Glassie (D);D
2006;N00012890;Timothy V Johnson (R);R
2006;N00012586;Chris Chocola (R);R
2006;N00026187;Wesley Clark (D);D
2006;N00026250;Kenneth H Hill (D);D
2006;N00026272;Jan Judy (D);D
2006;N00026337;Marvin Parks (R);R
2006;N00026427;Ro Khanna (D);D
2006;N00006436;Stan Barnes (R);R
2006;N00026777;Roselyn Ruth O'Connell (R);R
2006;N00026917;Bill Fuller (D);D
2006;N00027236;Theresa Gerratana (D);D
2006;N00027308;Marc Joseph Millican (3);3
2006;N00013151;Stephanie Sanchez (D);D
2006;N00013155;Russell Ross Francis (R);R
2006;N00013156;Bob Simpson (D);D
2006;N00013186;Sharon Wanda Deming (I);I
2006;N00013208;Derek W Smith (R);R
2006;N00013231;Cathie Hartnett (D);D
2006;N00013247;David A Bishop (D);D
2006;N00013258;Sandy Hume (R);R
2006;N00013262;Joyce Marie Griggs (D);D
2006;N00013263;Don Smart (D);D
2006;N00013269;Mike Gabbard (R);R
2006;N00013288;Arthur Joseph Regan (3);3
2006;N00013291;Mark Dayton (D);D
2006;N00013294;John Stanley Carroll (R);R
2006;N00013323;Sam Graves (R);R
2006;N00013334;Martha Fuller Clark (D);D
2006;N00013345;Steve Israel (D);D
2006;N00013401;Charles Laurie (R);R
2006;N00013406;Robert Lemen (R);R
2006;N00013408;Bob Bevill (R);R
2006;N00013436;Zell Miller (D);D
2006;N00000616;Joe Lieberman (I);I
2006;N00013581;John C Barker (R);R
2006;N00013620;Joseph A Fortunato (3);3
2006;N00006700;Mervin L Evans (D);D
2006;N00013738;Kevin Murray (D);D
2006;N00017637;James Irvin Glover (D);D
2006;N00000245;John Kerry (D);D
2006;N00018928;Kevin Johns (R);R
2006;N00026161;Roger Hines (R);R
2006;N00026163;Lynn A Westmoreland (R);R
2006;N00022029;John C Reiger (3);3
2006;N00026167;Jay Helvey (R);R
2006;N00026171;Charlie Dent (R);R
2006;N00026175;Richard Snuffer (R);R
2006;N00026183;Tom Ravenel (R);R
2006;N00026184;James F Stewart (R);R
2006;N00026190;Jason E Pacifico (3);3
2006;N00008166;George R Nethercutt Jr (R);R
2006;N00026263;Jed Joseph French (R);R
2006;N00024756;Winston Wilkinson (R);R
2006;N00026287;Jeremy Alexander (D);D
2006;N00009572;Bruce C Harris (D);D
2006;N00007099;Ken Calvert (R);R
2006;N00006825;Peter Mathews (D);D
2006;N00006983;Duncan Hunter (R);R
2006;N00006701;Mark A Takano (D);D
2006;N00012505;David Wayne Watkins (3);3
2006;N00012518;Thomas Purcell Liddy (R);R
2006;N00024823;Daniel Blue Jr (D);D
2006;N00024947;John Swallow (R);R
2006;N00026050;Lisa Murkowski (R);R
2006;N00026119;Charlie Rodriguez (3);3
2006;N00026157;Jim Brandt (D);D
2006;N00026271;Steve Novick (D);D
2006;N00026492;Paul Babbitt (D);D
2006;N00002763;Tom Wells (3);3
2006;N00007632;Eni F H Faleomavaega (D);D
2006;N00009573;Jeff Flake (R);R
2006;N00007422;Ellen O Tauscher (D);D
2006;N00007447;Joe Nation (D);D
2006;N00007507;George Radanovich (R);R
2006;N00006882;Buck Mckeon (R);R
2006;N00006770;Mel Levine (D);D
2006;N00009774;Xavier Becerra (D);D
2006;N00009575;Gene Paul Scharer (D);D
2006;N00007584;Wally Herger (R);R
2006;N00007397;Pete Stark (D);D
2006;N00007458;Lynn Woolsey (D);D
2006;N00007516;Richard W Pombo (R);R
2006;N00007286;Phillip D Wyman (R);R
2006;N00008094;Howard L Berman (D);D
2006;N00006750;Jane Harman (D);D
2006;N00006671;Lucille Roybal-Allard (D);D
2006;N00009111;Walter R Tucker III (D);D
2006;N00006953;Jay C Kim (R);R
2006;N00007009;Ron Packard (R);R
2006;N00008936;Jerry G Beck (D);D
2006;N00026046;Amanda Lou Hardy (D);D
2006;N00009576;Mary Judge Ryan (D);D
2006;N00008188;Vic Snyder (D);D
2006;N00006498;Thomas John Volgy (D);D
2006;N00009578;Lawrence R Wiesner (R);R
2006;N00007382;Tom Lantos (D);D
2006;N00007999;Don Young (R);R
2006;N00003032;Ronnie G Flippo (D);D
2006;N00005483;Thomas F Donaldson Jr (D);D
2006;N00008190;Asa Hutchinson (R);R
2006;N00006473;Bob Stump (R);R
2006;N00007390;George Miller (D);D
2006;N00007556;John T Doolittle (R);R
2006;N00006242;Barbara Cubin (R);R
2006;N00003028;Robert B Aderholt (R);R
2006;N00005455;Marion Berry (D);D
2006;N00006887;Timothy Charles Kalemkarian (R);R
2006;N00003728;Frank A Cremeans (R);R
2006;N00003545;Steve LaTourette (R);R
2006;N00002045;Tom Davis (R);R
2006;N00007834;Rick White (R);R
2006;N00004330;Jerry Kleczka (D);D
2006;N00009584;Michael W Case (D);D
2006;N00000183;Tom Tierney (R);R
2006;N00027445;Timothy John Robb (D);D
2006;N00001143;Gary Ackerman (D);D
2006;N00001020;Sue Kelly (R);R
2006;N00003682;Rob Portman (R);R
2006;N00003532;Bob Ney (R);R
2006;N00005559;Frank D Lucas (R);R
2006;N00000133;Donna Christian-Christensen (D);D
2006;N00004354;Jeffrey C Thomas (D);D
2006;N00009585;Adam Schiff (D);D
2006;N00002214;Alan B Mollohan (D);D
2006;N00007635;Amata Coleman Radewagen (R);R
2006;N00006423;Trent Franks (R);R
2006;N00007479;Zoe Lofgren (D);D
