year;CID;name;party
2016;N00035294;Greg Duke (R);R
2016;N00036257;Vivian Childs (R);R
2016;N00035798;Thomas Brown (D);D
2016;N00035862;Thomas Wight (D);D
2016;N00026160;Tom Price (R);R
2016;N00026163;Lynn A Westmoreland (R);R
2016;N00036258;Bernard Fontaine (R);R
2016;N00035370;Mike Collins (R);R
2016;N00035321;Susan Davis (R);R
2016;N00002526;Bob Barr (R);R
2016;N00035347;Barry Loudermilk (R);R
2016;N00035407;Tricia Pridemore (R);R
2016;N00026080;John Barrow (D);D
2016;N00036118;Delvis Dutton (R);R
2016;N00035479;Eugene Yu (R);R
2016;N00035864;Michael Owens (D);D
2016;N00036713;Margaret Metcalfe (R);R
2016;N00035408;Ikaika Anderson (D);D
2016;N00035409;Will Espero (D);D
2016;N00035535;Mark Takai (D);D
2016;N00035581;Hannah Stephanie Miyamoto (D);D
2016;N00035724;Donna Mercado Kim (D);D
2016;N00035234;Paul McKinley (R);R
2016;N00030975;Eric M Wallace (R);R
2016;N00027239;Daniel Lipinski (D);D
2016;N00035725;Karen M Johnson (I);I
2016;N00035235;Alexandra Eidenberg (D);D
2016;N00004884;Danny K Davis (D);D
2016;N00035677;Dan Roche (D);D
2016;N00036119;Gregory Seal Livingston (I);I
2016;N00035586;Lawrence Joseph Kaifesh (R);R
2016;N00035418;David Williams III (I);I
2016;N00035332;Darlene Senger (R);R
2016;N00035419;Craig Robbins (R);R
2016;N00035420;Mike Bost (R);R
2016;N00035362;Ann Callis (D);D
2016;N00035422;George Gollin (D);D
2016;N00035877;Josh Dill (I);I
2016;N00004757;John Andrew Cunningham (R);R
2016;N00035587;Eric Thorsland (D);D
2016;N00035878;David Hale (R);R
2016;N00036891;William W Fawell (L);L
2016;N00028428;Rob Mellon (D);D
2016;N00027450;Anthony E Rothert (D);D
2016;N00003813;Pete Visclosky (D);D
2016;N00003878;David M McIntosh (R);R
2016;N00026586;Joe Donnelly (D);D
2016;N00035727;Joe Bock (D);D
2016;N00035879;John Dale (D);D
2016;N00036123;Kevin Grant (R);R
2016;N00035881;Shawn Denney (D);D
2016;N00036073;Gordon Smith (R);R
2016;N00035883;Tom Spangler (D);D
2016;N00035528;Bill Bailey (D);D
2016;N00035360;Bryan Whitney (D);D
2016;N00035729;Alan LaPolice (I);I
2016;N00022361;Kent Roth (R);R
2016;N00036632;Joshua Joel Tucker (R);R
2016;N00026290;Patricia Lightner (R);R
2016;N00035236;Reggie Marselus (D);D
2016;N00035884;Kelly Kultala (D);D
2016;N00008144;Todd Tiahrt (R);R
2016;N00036268;Perry Schuckman (D);D
2016;N00003467;Ed Whitfield (R);R
2016;N00035885;Wesley Seaton Bolin (D);D
2016;N00036716;Samuel Lewis Gaskins (D);D
2016;N00035334;Ron Leach (D);D
2016;N00035588;Michael Macfarlane (R);R
2016;N00036754;Gregory Puccetti (I);I
2016;N00026591;Ben Chandler (D);D
2016;N00035887;Geoffrey Young (D);D
2016;N00036784;David Brooks (I);I
2016;N00036989;Michael Flynn (R);R
2016;N00036990;Boyce Adams (R);R
2016;N00036991;Joseline Pena-Melnyk (D);D
2016;N00039274;Avital Hadas Ms. Oberstein (3);3
2016;N00039275;Alamye Mooye (3);3
2016;N00039276;Daniel Perea (I);I
2016;N00039277;Linel Williams Iii (I);I
2016;N00039278;Lamont Lilly (3);3
2016;N00039279;Scott Gerald Batcher (R);R
2016;N00039280;Jesse Olive Gray-Or Else Just Hosanna (D);D
2016;N00039281;Christopher M Faulhaber (L);L
2016;N00039282;Amos Dalton York (D);D
2016;N00039283;Lilly Jewel Ms. Eicholtz (D);D
2016;N00039284;Michael Robert Ray (I);I
2016;N00039285;Thomas Patrick Clements (L);L
2016;N00039286;Damn Daniel (I);I
2016;N00039287;Henok Ato Weldemicael (I);I
2016;N00039288;Joseph Ryan Lamont (I);I
2016;N00039289;Christopher Carney Morchak (R);R
2016;N00039290;Derrick Edwards (3);3
2016;N00039291;James LaSpino (I);I
2016;N00039293;Andy Biggs (R);R
2016;N00039294;John Agra (R);R
2016;N00033505;Andy Caffrey (D);D
2016;N00039296;Ryan Detert (R);R
2016;N00039297;Carlos J Santamaria (R);R
2016;N00039298;Patrea Patrick (D);D
2016;N00039299;Tyler R Fischella (R);R
2016;N00039300;Max Gouron (D);D
2016;N00039301;George Anthanasopoulos (R);R
2016;N00039302;James Jusick (R);R
2016;N00039303;Patrick Weingart (I);I
2016;N00039304;Brent King (D);D
2016;N00039305;Felix Camacho (R);R
2016;N00039306;Javier Ocasio (D);D
2016;N00039307;Dennis B Murphy (D);D
2016;N00039308;Dave Hughes (R);R
2016;N00039309;Paul Berry III (R);R
2016;N00039310;Pam Tucker (R);R
2016;N00039311;Eric Beechwood (D);D
2016;N00039312;Craig P. Heard (R);R
2016;N00039313;Dan Serota (R);R
2016;N00039314;Oliver Rosenberg (D);D
2016;N00039315;Frank Spotorno (R);R
2016;N00039316;Derickson Lawrence (D);D
2016;N00039317;Kim Myers (D);D
2016;N00039318;Dave McTeague (D);D
2016;N00026864;Deborah Williams (R);R
2016;N00031580;James Jones (R);R
2016;N00039321;Joshua Burkholder (D);D
2016;N00039322;Jerry Kairnes (I);I
2016;N00039323;Gary Wegman (D);D
2016;N00039324;Mark Luttrell (R);R
2016;N00039325;Brad Greer (R);R
2016;N00039326;David Maldonado (R);R
2016;N00039327;Donald McEachin (D);D
2016;N00039328;David Steenson (R);R
2016;N00039329;Jennifer Brockmoller (R);R
2016;N00039330;Mike Gallagher (R);R
2016;N00039331;Darin Smith (R);R
2016;N00039332;Denk Maymay Boi ... Cosby (I);I
2016;N00039333;Crystal Ann Mrs Hale (I);I
2016;N00039334;Mary Ms Thomas (D);D
2016;N00039335;Daniel White Damn. Vans (D);D
2016;N00039336;Philip Monroe Iii Adams (U);U
2016;N00039337;Richard Paul Hopkins (I);I
2016;N00039338;Emanuel Dclaiborne Mr None Hammond (3);3
2016;N00039339;James Lambert Otis (R);R
2016;N00039340;Cookie Hydrox (3);3
2016;N00039341;Walter J Iii Zanuszzi (I);I
2016;N00039342;Connor Jordan Ranck (R);R
2016;N00039343;Roland King Ii Winslow (L);L
2016;N00039344;Gabriel Elias Van Duren (I);I
2016;N00039345;Gary Dean Mr. Deal (I);I
2016;N00039346;Link Starbureiy (3);3
2016;N00039347;Papa Franku (3);3
2016;N00039348;Joshua James Goellner (I);I
2016;N00039349;Tom Lantz (3);3
2016;N00039350;David Mr Zarikta (R);R
2016;N00039351;Krish Angra (I);I
2016;N00039352;Edward Nelson (D);D
2016;N00039353;Daniel Michael Pacich (L);L
2016;N00039354;"John ""Kingtamer"" D'Aura (3)";3
2016;N00039355;Justin N Smith (3);3
2016;N00039356;The Mr. Esq. Mattflores (U);U
2016;N00039357;Jeremy Lee Ploeger (I);I
2016;N00039358;Scott Piper Ltc (R) Caldwell (3);3
