CID,name
N00006557,Francesca Lobato
N00009075,John(Jack)McDonald
N00000722,Edward(Rev)Allen
N00005043,Tamara Millay
N00007994,Theresa Obermeyer
N00012307,Walter Mondale
N00007349,HooverMarkGee
N00002348,Tim Dunn
N00025895,Richard Haake
N00026049,TonyVanPelt
N00002851,Guy Houston
N00006507,FranklinDeanChristensen
N00003792,HeatherAnneHarder
N00000011,Harry Browne
N00001885,Alan Keyes
N00009887,Charles Collins
N00006887,TimothyCharlesKalemkarian
N00006296,LaceyMarkSivak
N00009888,Lamar Alexander
N00001604,Arlen Specter
N00001764,Richard Lugar
N00007140,Robert Dornan
N00004965,Maurice Taylor
N00001774,Pete Wilson
N00005820,BenjaminSamsonGleitman
N00004404,William Raven
N00009890,KeithRussellJudd
N00002359,Alford Rogers
N00003155,Ben Tomeo
N00009778,John Kasich
N00007156,RobertWilliamGottier
N00000093,Charles Phillips
N00000802,Steve Forbes
N00003757,DavidHaroldBirchler
N00003519,JamesLamarBaldwin
N00001726,Mark Kleinman
N00012459,Ronald Carter
N00006738,Larry Shepherd
N00001349,Leon Motor
N00000727,MonicaGailMoorehead
N00002910,MichaelMatthewPeresad
N00001298,Jack Kemp
N00005761,WillieFelixCarter
N00002087,RobertLeeSaunders
N00008075,Bill Bradley
N00001671,Samuel Hoff
N00009894,Freddy Sitnick
N00002051,Patrick Buchanan
N00009895,Thomas Fabish
N00008954,Al Gore
N00001730,Osie Thorpe
N00000948,Lenora Fulani
N00002193,AngusWheelerMcDonald
N00004917,MarshaAileenLannonFoutch
N00004032,HosannaJesseGray
N00003326,Samuel Palmer
N00009898,Dan Quayle
N00007772,StephenCaryVorderstrasse
N00002922,David(DW2000)Wyatt
N00006424,John McCain
N00008006,Frank Murkowski
N00013140,Johnny Swanson
N00013362,WilliamHenryToel
N00007364,Dianne Feinstein
N00009901,William Horn
N00012807,MedeaSusanBenjamin
N00006202,BenNighthorseCampbell
N00000581,Chris Dodd
N00012903,Philip Giordano
N00008078,Andy Martin
N00009903,Tom Gallagher
N00012904,NikkiMorganOldaker
N00009291,DavidKennethWeeks
N00013363,Darrell McCormick
N00013432,Joseph Simonetta
N00011340,Mack Mattingly
N00013436,Zell Miller
N00013469,Jeff Gates
N00013470,PaulRobertMacgregor
N00013471,Winnie Walsh
N00013472,BobbyRudolphWood
N00013731,Alford Rogers
