year;CID;name;party
2002;N00006557;Francesca Lobato (D);D
2002;N00009075;John K (Jack) McDonald (R);R
2002;N00000722;Edward A (Rev) Allen (D);D
2002;N00005043;Tamara Millay (L);L
2002;N00007994;Theresa Obermeyer (D);D
2002;N00012307;Walter F Mondale (D);D
2002;N00007349;Hoover Mark Gee (R);R
2002;N00002348;Tim Dunn (D);D
2002;N00025895;Richard H Haake (R);R
2002;N00026049;Tony G Van Pelt (U);U
2002;N00002851;Guy V Houston Jr (D);D
2002;N00006507;Franklin Dean Christensen (R);R
2002;N00003792;Heather Anne Harder (D);D
2002;N00000011;Harry Browne (L);L
2002;N00001885;Alan L Keyes (R);R
2002;N00009887;Charles E Collins (3);3
2002;N00006887;Timothy Charles Kalemkarian (R);R
2002;N00006296;Lacey Mark Sivak (U);U
2002;N00009888;Lamar Alexander (R);R
2002;N00001604;Arlen Specter (R);R
2002;N00001764;Richard G Lugar (R);R
2002;N00007140;Robert K Dornan (R);R
2002;N00004965;Maurice M Taylor Jr (R);R
2002;N00001774;Pete Wilson (R);R
2002;N00005820;Benjamin Samson Gleitman (R);R
2002;N00004404;William N Raven (I);I
2002;N00009890;Keith Russell Judd (U);U
2002;N00002359;Alford Rogers (R);R
2002;N00003155;Ben J Tomeo (R);R
2002;N00009778;John R Kasich (R);R
2002;N00007156;Robert William Gottier (3);3
2002;N00000093;Charles A Phillips (3);3
2002;N00000802;Steve Forbes (R);R
2002;N00003757;David Harold Birchler (R);R
2002;N00003519;James Lamar Baldwin (3);3
2002;N00001726;Mark Kleinman (3);3
2002;N00012459;Ronald H Carter (I);I
2002;N00006738;Larry E Shepherd (D);D
2002;N00001349;Leon Motor (I);I
2002;N00000727;Monica Gail Moorehead (3);3
2002;N00002910;Michael Matthew Peresad Jr (D);D
2002;N00001298;Jack Kemp (R);R
2002;N00005761;Willie Felix Carter (D);D
2002;N00002087;Robert Lee Saunders (I);I
2002;N00008075;Bill Bradley (D);D
2002;N00001671;Samuel B Hoff (I);I
2002;N00009894;Freddy Sitnick (D);D
2002;N00002051;Patrick J Buchanan (3);3
2002;N00009895;Thomas S Fabish (R);R
2002;N00008954;Al Gore (D);D
2002;N00001730;Osie Thorpe (I);I
2002;N00000948;Lenora B Fulani (U);U
2002;N00002193;Angus Wheeler McDonald (D);D
2002;N00004917;Marsha Aileen Lannon Foutch (D);D
2002;N00004032;Hosanna Jesse O Gray (D);D
2002;N00003326;Samuel Palmer (I);I
2002;N00009898;Dan Quayle (R);R
2002;N00007772;Stephen Cary Vorderstrasse (I);I
2002;N00002922;David E (DW2000) Wyatt (I);I
2002;N00006424;John McCain (R);R
2002;N00008006;Frank H Murkowski (R);R
2002;N00013140;Johnny Swanson III (I);I
2002;N00013362;William Henry Toel (I);I
2002;N00007364;Dianne Feinstein (D);D
2002;N00009901;William G Horn III (R);R
2002;N00012807;Medea Susan Benjamin (3);3
2002;N00006202;Ben Nighthorse Campbell (R);R
2002;N00000581;Chris Dodd (D);D
2002;N00012903;Philip A Giordano (R);R
2002;N00008078;Andy Martin (R);R
2002;N00009903;Tom Gallagher (R);R
2002;N00012904;Nikki Morgan Oldaker (I);I
2002;N00009291;David Kenneth Weeks (R);R
2002;N00013363;Darrell L McCormick (I);I
2002;N00013432;Joseph R Simonetta (3);3
2002;N00011340;Mack Mattingly (R);R
2002;N00013436;Zell Miller (D);D
2002;N00013469;Jeff Gates (3);3
2002;N00013470;Paul Robert Macgregor (3);3
2002;N00013471;Winnie Walsh (D);D
2002;N00013472;Bobby Rudolph Wood (R);R
2002;N00013731;Alford Rogers (3);3
2002;N00007653;Daniel K Akaka (D);D
