name,person,CID
Alan Grayson,412276,N00028418
Brett Guthrie,412278,N00029675
Gregg Harper,412280,N00029632
James Himes,412282,-1
Duncan Hunter,412283,N00029258
Lynn Jenkins,412284,N00029077
Ann Kirkpatrick,412286,N00029260
Leonard Lance,412290,N00000898
Blaine Luetkemeyer,412292,N00030026
Ben Luján,412293,-1
Cynthia Lummis,412294,N00029788
Tom McClintock,412295,N00006863
Pete Olson,412302,N00029285
Erik Paulsen,412303,N00029391
Chellie Pingree,412307,N00013817
Jared Polis,412308,N00029127
Bill Posey,412309,N00029662
David Roe,412310,-1
Thomas Rooney,412311,-1
Kurt Schrader,412315,N00030071
Glenn Thompson,412317,N00029736
Dina Titus,412318,N00030191
Paul Tonko,412319,N00030196
Marcia Fudge,412327,N00030490
Mike Quigley,412331,N00030581
Judy Chu,412379,N00030600
John Garamendi,412382,N00030856
Theodore Deutch,412385,-1
Tom Graves,412388,N00030788
Marlin Stutzman,412392,N00030891
Tom Reed,412393,N00030949
Martha Roby,412394,N00030768
Mo Brooks,412395,N00030910
Terri Sewell,412396,N00030622
Paul Gosar,412397,N00030771
David Schweikert,412399,N00006460
Eric Crawford,412400,-1
Steve Womack,412402,N00031857
Jeff Denham,412403,N00031593
Karen Bass,412404,N00031877
Scott Tipton,412405,N00027509
John Carney,412407,N00030736
Richard Nugent,412409,N00032441
Daniel Webster,412410,N00026335
Dennis Ross,412411,N00030645
Frederica Wilson,412412,N00030650
Rob Woodall,412416,N00032416
Austin Scott,412417,N00032457
Raúl Labrador,412419,-1
Bob Dold,412420,N00031103
Adam Kinzinger,412421,N00030667
Randy Hultgren,412422,N00031104
Todd Rokita,412426,N00031741
Larry Bucshon,412427,N00031227
Todd Young,412428,N00030670
Tim Huelskamp,412429,N00027649
Kevin Yoder,412430,N00031502
Mike Pompeo,412431,N00030744
Cedric Richmond,412432,N00030184
Andy Harris,412434,N00029147
William Keating,412435,-1
Dan Benishek,412436,N00031934
Bill Huizenga,412437,N00030673
Justin Amash,412438,N00031938
Steven Palazzo,412443,N00031958
Vicky Hartzler,412444,N00031005
Billy Long,412445,N00030676
Joseph Heck,412446,-1
Frank Guinta,412447,N00030801
Christopher Gibson,412453,-1
Richard Hanna,412454,N00030197
Renee Ellmers,412457,N00031513
Bill Johnson,412460,N00032088
Steve Stivers,412461,N00029574
James Renacci,412462,-1
Bob Gibbs,412463,N00031128
Mike Kelly,412465,N00031647
Patrick Meehan,412466,N00031134
Tom Marino,412468,N00031777
Lou Barletta,412469,N00025495
David Cicilline,412470,N00032019
Jeff Duncan,412472,N00030752
Trey Gowdy,412473,N00030880
Mick Mulvaney,412474,N00031412
Kristi Noem,412475,N00032022
Charles Fleischmann,412476,-1
Scott DesJarlais,412477,-1
Diane Black,412478,N00031539
Stephen Fincher,412479,-1
Bill Flores,412480,N00031545
Blake Farenthold,412482,N00031672
Edward Rigell,412483,-1
Robert Hurt,412484,N00031265
Morgan Griffith,412485,N00032029
Jaime Herrera Beutler,412486,-1
David McKinley,412487,N00031681
Sean Duffy,412488,N00030967
Reid Ribble,412489,N00030968
Janice Hahn,412498,N00006806
Mark Amodei,412500,N00031177
Suzanne Bonamici,412501,N00033474
Thomas Massie,412503,N00034041
Suzan DelBene,412505,N00030693
Donald Payne,412506,N00000716
Kyrsten Sinema,412509,N00033983
Doug LaMalfa,412510,N00033987
Jared Huffman,412511,N00033030
Ami Bera,412512,N00030717
Paul Cook,412513,N00036492
Eric Swalwell,412514,N00033508
David Valadao,412515,N00033367
Julia Brownley,412516,N00034254
Tony Cárdenas,412517,-1
Raul Ruiz,412519,N00033510
Mark Takano,412520,N00006701
Alan Lowenthal,412521,N00033274
Juan Vargas,412522,N00007021
Scott Peters,412523,N00033591
Elizabeth Esty,412524,N00033217
Ted Yoho,412525,N00033220
Ron DeSantis,412526,N00034746
Patrick Murphy,412527,N00033091
Lois Frankel,412529,N00002893
Doug Collins,412531,N00033518
Tulsi Gabbard,412532,N00033281
Tammy Duckworth,412533,N00027860
Rodney Davis,412536,N00034784
Cheri Bustos,412537,N00033390
Jackie Walorski,412538,N00031226
Susan Brooks,412539,N00033495
Luke Messer,412540,N00012546
Garland Barr,412541,-1
Joseph Kennedy,412543,N00000259
John Delaney,412544,N00033897
Daniel Kildee,412546,-1
Ann Wagner,412548,N00033106
Richard Hudson,412550,N00033630
Robert Pittenger,412551,N00034416
Mark Meadows,412552,N00033631
George Holding,412553,N00033399
Kevin Cramer,412555,N00004614
Ann Kuster,412557,-1
Michelle Lujan Grisham,412558,-1
Grace Meng,412560,N00034547
Hakeem Jeffries,412561,N00033640
Sean Maloney,412562,-1
Chris Collins,412563,N00001285
Brad Wenstrup,412564,N00033310
Joyce Beatty,412565,N00033904
David Joyce,412566,N00035007
Jim Bridenstine,412567,-1
Markwayne Mullin,412568,N00033410
Scott Perry,412569,N00034120
Keith Rothfus,412570,N00031253
Matthew Cartwright,412571,-1
Tom Rice,412572,N00033832
Randy Weber,412574,N00033539
Beto O’Rourke,412575,-1
Joaquin Castro,412576,N00033316
Roger Williams,412578,N00030602
Marc Veasey,412579,N00033839
Filemon Vela,412580,N00034349
Chris Stewart,412581,N00033932
Derek Kilmer,412583,N00034453
Denny Heck,412584,-1
Mark Pocan,412585,N00033549
Robin Kelly,412595,N00035215
Jason Smith,412596,N00035282
Katherine Clark,412600,N00035278
Bradley Byrne,412601,N00035380
David Jolly,412603,N00035717
Curtis Clawson,412604,-1
David Brat,412605,-1
Donald Norcross,412606,-1
Alma Adams,412607,N00035451
Gary Palmer,412608,N00035691
French Hill,412609,N00035792
Bruce Westerman,412610,N00035527
Martha McSally,412611,N00033982
Ruben Gallego,412612,N00036097
Mark DeSaulnier,412613,-1
Steve Knight,412614,N00035820
Pete Aguilar,412615,N00033997
Ted Lieu,412616,N00035825
Norma Torres,412617,N00036107
Mimi Walters,412618,N00035391
Ken Buck,412619,-1
Gwen Graham,412620,N00035688
Carlos Curbelo,412621,N00035403
Buddy Carter,412622,N00035346
Jody Hice,412623,N00032243
Barry Loudermilk,412624,N00035347
Rick Allen,412625,-1
Mark Takai,412626,N00035535
Rod Blum,412627,N00033744
David Young,412628,N00035509
Mike Bost,412629,N00035420
Ralph Abraham,412630,N00036633
Garret Graves,412631,N00036135
Seth Moulton,412632,N00035431
Bruce Poliquin,412633,N00034584
John Moolenaar,412634,N00036275
Mike Bishop,412635,N00036449
Dave Trott,412636,N00035607
Debbie Dingell,412637,N00036149
Brenda Lawrence,412638,N00034068
Tom Emmer,412639,N00035440
Ryan Zinke,412640,N00035616
David Rouzer,412641,N00033527
Brad Ashford,412642,N00005293
