Senate Vote #1 2001-01-23T14:44:00 - On the Nomination PN101: Mitchell E. Daniels, Jr., of Indiana, to be Director of the Office of Management and Budget
person,state,district,vote,name,party
300088,AL,,Yea,"Sen. Jefferson “Jeff” Sessions [R, 1997-2017]",Republican
300089,AL,,Yea,"Sen. Richard Shelby [R, 1987-2022]",Republican
300090,OR,,Yea,"Sen. Gordon Smith [R, 1997-2008]",Republican
300091,ME,,Yea,"Sen. Olympia Snowe [R, 1995-2012]",Republican
300092,PA,,Yea,"Sen. Arlen Specter [R, 1981-2010]",Republican
300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat
300094,AK,,Yea,"Sen. Ted Stevens [R, 1968-2008]",Republican
300097,WY,,Yea,"Sen. Craig Thomas [R, 1995-2007]",Republican
300098,OH,,Yea,"Sen. George Voinovich [R, 1999-2010]",Republican
300099,VA,,Yea,"Sen. John Warner [R, 1979-2008]",Republican
300100,OR,,Yea,"Sen. Ron Wyden [D, 1996-2022]",Democrat
300150,AK,,Yea,"Sen. Frank Murkowski [R, 1981-2002]",Republican
300151,AR,,Yea,"Sen. Tim Hutchinson [R, 1997-2002]",Republican
300152,GA,,Yea,"Sen. Maxwell Cleland [D, 1997-2002]",Democrat
300153,MO,,Yea,"Sen. Jean Carnahan [D, 2001-2002]",Democrat
300154,NC,,Yea,"Sen. Jesse Helms [R, 1973-2002]",Republican
300155,NH,,Yea,"Sen. Robert “Bob” Smith [R, 1990-2002]",Republican
300156,NJ,,Yea,"Sen. Robert Torricelli [D, 1997-2002]",Democrat
300157,SC,,Yea,"Sen. Strom Thurmond [R, 1956-2002]",Republican
300158,TN,,Yea,"Sen. Fred Thompson [R, 1994-2002]",Republican
300159,TX,,Yea,"Sen. Phil Gramm [R, 1985-2002]",Republican
400566,MN,,Yea,"Sen. Paul Wellstone [D, 1991-2002]",Democrat
