year;CID;name;party
2012;N00034999;Antonio Blue (D);D
2012;N00035000;Stacey Plaskett (D);D
2012;N00035001;Tim Sweet (I);I
2012;N00035002;Maura Deluca (3);3
2012;N00035003;Colin David Teberg (U);U
2012;N00035004;Simon Alvarado (U);U
2012;N00034436;Harold Pavilack (D);D
2012;N00027639;Mark Wyland (R);R
2012;N00035007;David P Joyce (R);R
2012;N00035009;Kim Allen (L);L
2012;N00035010;Thomas Juniel (I);I
2012;N00035011;Michael Calpino (3);3
2012;N00035012;Frank Atwood (L);L
2012;N00035013;Susan P Hall (3);3
2012;N00035014;Peter Joseph Hernandez, Sr (3);3
2012;N00035015;Victor Bryan Walker (U);U
2012;N00035016;Paul Drgos (L);L
2012;N00035017;Frank A Lukasik (R);R
2012;N00035018;Randall Lord (L);L
2012;N00035019;Santa Claus (I);I
2012;N00035020;George Allen Cantrell (R);R
2012;N00035021;Gary Landrieu (D);D
2012;N00035022;Morgan West (3);3
2012;N00035023;Clay Grant (L);L
2012;N00035024;Marc Cohen (3);3
2012;N00035025;Janet Murphy (3);3
2012;N00035026;Randy Luallin (L);L
2012;N00035027;Bob Henry Baber (3);3
2012;N00035028;David Seaman (3);3
2012;N00035029;David Rosenfeld (3);3
2012;N00035030;Ken Hildebrandt (3);3
2012;N00035031;Peter Marchetti (3);3
2012;N00035032;"David ""Turk"" Turknett (I)";I
2012;N00035033;Bruce Majors (L);L
2012;N00035034;Scott Soffen (L);L
2012;N00035035;Morgan Osborne (R);R
2012;N00035036;John Hartman (I);I
2012;N00035037;Bryan Barrilleaux (R);R
2012;N00035038;George Krail II (I);I
2012;N00035039;Misha Luzov (3);3
2012;N00035040;Raymond Baldwin (3);3
2012;N00035041;Mark Gerald Shell (3);3
2012;N00035042;Bob Ekstrom (3);3
2012;N00035043;Caleb Trotter (L);L
2012;N00035044;Patrick Provost (L);L
2012;N00035045;Jim Stark (L);L
2012;N00035046;Nick Muller (L);L
2012;N00035047;Danny Dalton (I);I
2012;N00035048;Gregory Hughes (I);I
2012;N00035049;Dwayne Bailey (R);R
2012;N00028434;Brandy Baker (3);3
2012;N00008611;Karen Zaletel (I);I
2012;N00005697;Ken Ashby (L);L
2012;N00005860;Drew Parks (L);L
2012;N00005981;Jeffrey Blunt (L);L
2012;N00010892;Len Flynn (L);L
2012;N00004092;Ken Proctor (L);L
2012;N00000788;Leonard P Marshall (I);I
2012;N00000680;Herbert Shaw (I);I
2012;N00027366;Daryl Brooks (I);I
2012;N00030451;George Zimmer (3);3
2012;N00030454;William Opalicky (3);3
2012;N00030459;Richard Secula (L);L
2012;N00031801;Steven Susman (L);L
2012;N00031805;Mark Boler (L);L
2012;N00013270;Dennis Hawver (L);L
