year;CID;name;party
2014;N00012668;Ken Timmerman (R);R
2014;N00013808;Thaddeus G McCotter (R);R
2014;N00035202;Kevin Glover (D);D
2014;N00034965;Willie German Jr (D);D
2014;N00034271;Trevor Thomas (D);D
2014;N00034627;Jim Fulner (L);L
2014;N00034037;Angela Michael (D);D
2014;N00034038;Bronco Bojovic (I);I
2014;N00033391;Eric Reyes (D);D
2014;N00004961;John M Shimkus (R);R
2014;N00033748;Joel Phelps (R);R
2014;N00033392;Brendan Mullen (D);D
2014;N00033614;Mitch Feikes (R);R
2014;N00033886;Greg Andrews (R);R
2014;N00034319;Justin Kuhnle (D);D
2014;N00024933;Mike Young (R);R
2014;N00031912;Tara Nelson (D);D
2014;N00034622;Joe Bowman (L);L
2014;N00033495;Susan Brooks (R);R
2014;N00034264;Wayne Seybold (R);R
2014;N00000010;Dan Burton (R);R
2014;N00028986;Paul Broun (R);R
2014;N00002640;Ronald L Cain (I);I
2014;N00030206;Mary Taylor-Shelby (I);I
2014;N00026564;Raymond Lee Davis (I);I
2014;N00025687;Brian Russell Brown (I);I
2014;N00036877;Joel Azumah (3);3
2014;N00036878;George Saady (U);U
2014;N00036879;Alex Wolf Weinstein (I);I
2014;N00036880;Gary Dunn (I);I
2014;N00036881;Dino Battista (I);I
2014;N00036882;Mary H Schroder (I);I
2014;N00036883;Anantha Reddy Muscu (I);I
2014;N00036884;Ronald Satish Emrit (D);D
2014;N00036885;Robert Gifford (3);3
2014;N00036886;Douglas Troszak (U);U
2014;N00036887;Robert Boensch (U);U
2014;N00036888;Liz Sullivan (I);I
2014;N00036889;Robert Frank Aldridge (I);I
2014;N00036890;Chuck Wood (I);I
2014;N00036891;William W Fawell (L);L
2014;N00036892;Gustavo Ortega (I);I
2014;N00036893;Calvin Pruden (I);I
2014;N00036894;Roger Smith (I);I
2014;N00036906;Valleri Crabtree (D);D
2014;N00036907;Pam Keith (D);D
2014;N00033559;John Lewis Mealer (I);I
2014;N00026411;Piotr Blass (3);3
2014;N00003799;Michael Edward Petyo (R);R
2014;N00036895;Richard Peter (I);I
2014;N00036908;Barbara Jean Lunde (3);3
2014;N00036909;Russ Taub (R);R
2014;N00036910;Morrison Mckelvy Bonpasse (D);D
2014;N00036911;Margaret M Davidson (3);3
2014;N00036913;Renee Lea Loetscher (R);R
2014;N00033505;Andy Caffrey (D);D
2014;N00035381;Jessica James (R);R
2014;N00035382;Chad Fincher (R);R
2014;N00035383;Burton Leflore (D);D
2014;N00035384;James Hall (I);I
2014;N00035385;Wells Griffith (R);R
2014;N00035386;Janis K Percefull (D);D
2014;N00035387;Robin Chew (R);R
2014;N00035388;Danny Tillman (D);D
2014;N00035389;Steve Adams (R);R
2014;N00035390;Tim Sheridan (D);D
2014;N00035391;Mimi Walters (R);R
2014;N00035392;Carl Demaio (R);R
2014;N00035393;Kirk Jorgensen (R);R
2014;N00035394;Fred J Simon Jr (R);R
2014;N00035395;Irving Halter Jr (D);D
2014;N00035396;Glo Smith (R);R
2014;N00035397;Michael McKenna (D);D
2014;N00035398;Jorge Bonilla (R);R
2014;N00035399;Peter Vivaldi (R);R
2014;N00035400;Ellen Andel (R);R
2014;N00035401;Carl Domino (R);R
2014;N00035402;Jean Enright (D);D
2014;N00035403;Carlos Curbelo (R);R
2014;N00035404;Bob Johnson (R);R
2014;N00035405;David Schwarz (R);R
2014;N00035406;Jeff Chapman (R);R
2014;N00035407;Tricia Pridemore (R);R
2014;N00035408;Ikaika Anderson (D);D
2014;N00035409;Will Espero (D);D
2014;N00035410;Monica Vernon (D);D
2014;N00035411;Swati Dandekar (D);D
2014;N00035412;Anesa Kajtazovic (D);D
2014;N00035413;Mark Lofgren (R);R
2014;N00035414;Staci Appel (D);D
2014;N00035415;Gabriel Delacerda (D);D
2014;N00035416;Jim Mowrer (D);D
2014;N00035417;Bryan Smith (R);R
2014;N00035418;David Williams III (R);R
2014;N00035419;Craig Robbins (R);R
2014;N00035420;Mike Bost (R);R
2014;N00035421;Erika Harold (R);R
2014;N00035422;George Gollin (D);D
2014;N00035423;Brian Fecteau (R);R
2014;N00035424;Margie Wakefield (D);D
2014;N00035425;Elisabeth Jensen (D);D
2014;N00035426;Michael Coblenz (D);D
2014;N00035427;Joe Palumbo (D);D
2014;N00035428;Karen Spilka (D);D
2014;N00035429;Peter Koutoujian (D);D
2014;N00035430;Mike Coombes (L);L
2014;N00035431;Seth Moulton (D);D
2014;N00035432;Alden Smith (D);D
2014;N00035433;Emily Cain (D);D
2014;N00035434;Troy Jackson (D);D
2014;N00035435;Alex Willette (R);R
2014;N00035436;Pam Byrnes (D);D
2014;N00035437;Mykale Garrett (D);D
2014;N00035438;Mike Benson (R);R
2014;N00035439;Tom Craft (D);D
2014;N00035440;Tom Emmer (R);R
2014;N00035441;John Pederson (R);R
2014;N00035442;Rhonda Sivarajah (R);R
2014;N00035443;Stewart Mills (R);R
2014;N00035444;Robin Purcell (I);I
2014;N00035445;Don Webb (R);R
2014;N00035446;Danielle Adams (D);D
2014;N00035447;Rodney Moore (D);D
2014;N00035448;George Battle III (D);D
2014;N00035449;Malcolm Graham (D);D
2014;N00035450;Curtis Osborne (D);D
2014;N00035451;Alma Adams (D);D
2014;N00035452;Bill O'Brien (R);R
2014;N00035453;Leslie Endean-Singh (D);D
2014;N00035454;Erin Bilbray Kohn (D);D
2014;N00035455;Jim Prues (D);D
2014;N00035456;John Sheil (D);D
2014;N00035457;Jennifer Garrison (D);D
2014;N00035458;Russ Gottesman (D);D
2014;N00035459;Daniel Manuel Patton (D);D
2014;N00035460;Tae Si (D);D
2014;N00035461;Art Halvorson (R);R
2014;N00035462;Yomi Faparusi (R);R
2014;N00035463;Neal Marchbanks (D);D
2014;N00035464;Louie Minor (D);D
2014;N00035465;Craig Bowden (I);I
2014;N00009743;Mark Greene (D);D
2014;N00035466;Richard Bolger (D);D
2014;N00035467;Charlotte Lane (R);R
2014;N00035468;Meshea Poore (D);D
2014;N00035469;Sherlene Stevens (R);R
2014;N00035470;Dwayne Alan Tomlinson (R);R
2014;N00035296;Kins Jeroboan (I);I
2014;N00035472;John Jaramillo (R);R
2014;N00035473;Mead Treadwell (R);R
2014;N00035474;Owen Hill (R);R
2014;N00035475;Randy Baumgardner (R);R
2014;N00035476;Derrick Grayson (R);R
2014;N00035477;Karen Handel (R);R
2014;N00035478;Todd Robinson (D);D
2014;N00035479;Eugene Yu (R);R
2014;N00035480;Michelle Nunn (D);D
2014;N00035481;Matt Whitaker (R);R
2014;N00035482;Sam Clovis (R);R
2014;N00035483;Joni Ernst (R);R
2014;N00035484;Scott Schaben (R);R
2014;N00035485;Doug Truax (R);R
2014;N00035486;Alison Grimes (D);D
2014;N00035487;Rob Maness (R);R
2014;N00035488;Terri Lynn Land (R);R
2014;N00035489;Mike McFadden (R);R
2014;N00035490;Jim Abeler (R);R
2014;N00035491;Mark Harris (R);R
2014;N00035492;Thom Tillis (R);R
2014;N00035493;Shane Osborn (R);R
2014;N00035494;Bart McLeay (R);R
2014;N00035495;Sheila Oliver (D);D
2014;N00035496;Alieta Eck (R);R
2014;N00035497;Antonio Sabas (I);I
2014;N00035498;Stuart Meissner (I);I
2014;N00035499;Matt Silverstein (D);D
2014;N00035500;Annette Bosworth (R);R
2014;N00035501;Larry Rhoden (R);R
2014;N00035502;Howie Lind (R);R
2014;N00035503;Shak Hill (R);R
