300002,Sen. Lamar
300011,Sen. Barbara Boxer
300018,Sen. Maria
300019,Sen. Thomas
300023,Sen. Thad Cochran
300025,Sen. Susan
300027,Sen. John
300030,Sen. Michael Crapo
300038,Sen. Richard
300041,Sen. Michael
300043,Sen. Dianne
300047,Sen. Lindsey
300048,Sen. Charles Grassley
300052,Sen. Orrin
300055,Sen. James
300065,Sen. Patrick Leahy
300071,Sen. John McCain
300072,Sen. Mitch
300073,Sen. Barbara Mikulski
300075,Sen. Lisa Murkowski
300076,Sen. Patty Murray
300078,Sen. Bill
300081,Sen. John
300082,Sen. Harry Reid
300083,Sen. Pat
300087,Sen. Charles Schumer
300088,Sen. Jefferson Sessions
300089,Sen. Richard Shelby
300093,Sen. Debbie
300100,Sen. Ron Wyden
400013,Sen. Tammy
400034,Sen. Roy Blunt
400040,Sen. John Boozman
400050,Sen. Sherrod
400054,Sen. Richard Burr
400061,Sen. Shelley
400064,Sen. Benjamin
400134,Sen. Jeff
400194,Sen. John Isakson
400222,Sen. Mark Kirk
400253,Sen. Edward
400272,Sen. Robert
400284,Sen. Jerry Moran
400325,Sen. Robert Portman
400357,Sen. Bernard
400408,Sen. Patrick Toomey
400413,Sen. Tom
400418,Sen. David Vitter
400432,Sen. Roger
400546,Sen. John Thune
402675,Sen. Daniel Coats
412194,Sen. Christopher
412200,Sen. Mazie
412205,Sen. Joe
412218,Sen. Dean
412223,Sen. Kirsten
412242,Sen. Amy
412243,Sen. Claire
412244,Sen. Jon
412246,Sen. Robert Casey
412247,Sen. Sheldon
412248,Sen. Bob
412251,Sen. John
412269,Sen. Bill
412281,Sen. Martin
412305,Sen. Gary
412321,Sen. Mark
412322,Sen. James
412323,Sen. Jeanne
412325,Sen. Jeff
412330,Sen. Michael Bennet
412378,Sen. Alan Franken
412390,Sen. Chris
412391,Sen. Joe Manchin
412406,Sen. Cory
412464,Sen. James Lankford
412471,Sen. Tim Scott
412490,Sen. Richard Blumenthal
412491,Sen. Marco Rubio
412492,Sen. Rand Paul
412493,Sen. Kelly Ayotte
412494,Sen. John Hoeven
412495,Sen. Mike Lee
412496,Sen. Ron Johnson
412507,Sen. Brian Schatz
412508,Sen. Tom
412542,Sen. Elizabeth
412545,Sen. Angus
412549,Sen. Steve
412554,Sen. Heidi
412556,Sen. Deb
412573,Sen. Ted
412582,Sen. Timothy
412598,Sen. Cory
412665,Sen. Dan
412666,Sen. David
412667,Sen. Joni
412668,Sen. Thom
412669,Sen. Mike
412671,Sen. Benjamin
