year;CID;name;party
2010;N00033186;Daniel J Stepanek (3);3
2010;N00033187;Muriel P Bianchi (3);3
2010;N00033189;Eugene Flanagan (3);3
2010;N00033190;Elmon Smith (3);3
2010;N00029296;William Burns (3);3
2010;N00030571;June Pouesi (R);R
2010;N00027743;Robert Vasquez (R);R
2010;N00030401;Abel Noah Tomlinson (3);3
2010;N00028980;William Charles Hughes (D);D
2010;N00027167;Eva K Bacal (D);D
2010;N00027460;Lara Ruth Shapiro (D);D
2010;N00028296;Tom Wyka (D);D
2010;N00002556;Mac Collins (R);R
2010;N00026241;Melissa Joy Martin (R);R
2010;N00007606;Gene Douglass (R);R
2010;N00026325;Nancy Farmer (D);D
2010;N00026923;Randy Graf (R);R
2010;N00026997;Arthur Small (D);D
2010;N00027694;Claire McCaskill (D);D
2010;N00014497;Haley Barbour (U);U
2010;N00033147;Dave Olszta (3);3
2010;N00033148;Jay J Giles (3);3
2010;N00033149;John Traceski (3);3
2010;N00033151;Todd Vachon (3);3
2010;N00033152;Frederick R Reinisch Jr (3);3
2010;N00033153;Shon-Tiyon 'Santiago Horton (3);3
2010;N00033154;Avner Nagar (3);3
2010;N00033155;Darren Raichart (3);3
2010;N00033156;Lowell M Seida (3);3
2010;N00033157;Ina Pinkney (3);3
2010;N00033158;Denise L Whittington (D);D
2010;N00033159;Mary Catherine Podlesak (R);R
2010;N00033160;Robert J Evans (U);U
2010;N00033161;Jeff Wirick (3);3
2010;N00033162;Richie L Wolfe (3);3
2010;N00033163;Loy Brunson (I);I
2010;N00033180;Mark A Jensen (3);3
2010;N00033181;Tony Lacy (3);3
2010;N00033182;Ronald P Kabat (3);3
2010;N00033183;John Uebersax (3);3
2010;N00033184;Suleiman Charles Edmondson (3);3
2010;N00033185;Marcus Jay Shapiro (3);3
2010;N00033191;Sean Greenberg (3);3
2010;N00033192;Author C Brumfield (3);3
2010;N00033193;Doug Marks (3);3
2010;N00033194;Patrick M Cannon (3);3
2010;N00033195;Brian Wallner (3);3
2010;N00033196;Nicholas Ladendorf (3);3
2010;N00033197;Ron Burrus (3);3
2010;N00033229;Jeff Russell (3);3
2010;N00033230;Charlie L Bailey (3);3
2010;N00033231;Michael Kennedy (U);U
2010;N00033228;James E Harris (3);3
2010;N00006755;Hans J Kugler (3);3
2010;N00007470;Connor Vlakancic (3);3
2010;N00027432;Carl E Vassar (3);3
2010;N00031491;Susanne Atanus (R);R
2010;N00029607;Dale M Hoinoski (3);3
2010;N00030522;Michael D Laforest (I);I
2010;N00028677;Theresa C Scaldaferri (D);D
2010;N00028681;Richard Shawver (3);3
2010;N00025706;Anthony Jaworski (D);D
2010;N00008502;Lih Young (D);D
2010;N00001823;John B Kimble (R);R
2010;N00026605;George E McDermott (D);D
2010;N00027403;R A Galan (I);I
2010;N00029521;Thomas E Harris (R);R
2010;N00029524;Robert Broadus (R);R
2010;N00026756;Ray Bly (R);R
2010;N00030520;Joseph Kexel (L);L
2010;N00032846;John R Cox (R);R
2010;N00032847;Gary Johnson (D);D
2010;N00032848;John A Roberts (R);R
2010;N00032849;Michael Miller (D);D
