300001,HI,Nay,Sen. Daniel Akaka,Democrat
300002,TN,Yea,Sen. Lamar Alexander,Republican
300003,CO,Yea,Sen. Wayne Allard,Republican
300004,VA,Yea,Sen. George Allen,Republican
300005,MT,Not Voting,Sen. Max Baucus,Democrat
300006,IN,Nay,Sen. Evan Bayh,Democrat
300007,UT,Yea,Sen. Robert Bennett,Republican
300008,DE,Nay,Sen. Joseph Biden,Democrat
300009,NM,Nay,Sen. Jeff Bingaman,Democrat
300010,MO,Yea,Sen. Christopher Bond,Republican
300011,CA,Nay,Sen. Barbara Boxer,Democrat
300012,LA,Nay,Sen. John Breaux,Democrat
300013,KS,Yea,Sen. Samuel Brownback,Republican
300014,KY,Yea,Sen. Jim Bunning,Republican
300015,MT,Yea,Sen. Conrad Burns,Republican
300016,WV,Nay,Sen. Robert Byrd,Democrat
300017,CO,Nay,Sen. Ben Campbell,Republican
300018,WA,Nay,Sen. Maria Cantwell,Democrat
300019,DE,Nay,Sen. Thomas Carper,Democrat
300020,RI,Yea,Sen. Lincoln Chafee,Republican
300021,GA,Not Voting,Sen. Saxby Chambliss,Republican
300022,NY,Nay,Sen. Hillary Clinton,Democrat
300023,MS,Yea,Sen. Thad Cochran,Republican
300024,MN,Yea,Sen. Norm Coleman,Republican
300025,ME,Yea,Sen. Susan Collins,Republican
300026,ND,Nay,Sen. Kent Conrad,Democrat
300027,TX,Yea,Sen. John Cornyn,Republican
300028,NJ,Nay,Sen. Jon Corzine,Democrat
300029,ID,Yea,Sen. Larry Craig,Republican
300030,ID,Yea,Sen. Michael Crapo,Republican
300031,SD,Nay,Sen. Thomas Daschle,Democrat
300032,MN,Not Voting,Sen. Mark Dayton,Democrat
300033,OH,Yea,Sen. Michael DeWine,Republican
300034,CT,Nay,Sen. Christopher Dodd,Democrat
300035,NC,Yea,Sen. Elizabeth Dole,Republican
300036,NM,Yea,Sen. Pete Domenici,Republican
300037,ND,Nay,Sen. Byron Dorgan,Democrat
300038,IL,Nay,Sen. Richard Durbin,Democrat
300039,NC,Not Voting,Sen. John Edwards,Democrat
300040,NV,Nay,Sen. John Ensign,Republican
300041,WY,Yea,Sen. Michael Enzi,Republican
300042,WI,Nay,Sen. Russell Feingold,Democrat
300043,CA,Nay,Sen. Dianne Feinstein,Democrat
300044,IL,Yea,Sen. Peter Fitzgerald,Republican
300045,TN,Nay,Sen. William Frist,Republican
300046,FL,Nay,Sen. Bob Graham,Democrat
300047,SC,Yea,Sen. Lindsey Graham,Republican
300048,IA,Yea,Sen. Charles Grassley,Republican
300049,NH,Yea,Sen. Judd Gregg,Republican
300050,NE,Yea,Sen. Charles Hagel,Republican
300051,IA,Nay,Sen. Thomas Harkin,Democrat
300052,UT,Yea,Sen. Orrin Hatch,Republican
300053,SC,Yea,Sen. Ernest Hollings,Democrat
300054,TX,Yea,Sen. Kay Hutchison,Republican
300055,OK,Yea,Sen. James Inhofe,Republican
300056,HI,Not Voting,Sen. Daniel Inouye,Democrat
300057,VT,Nay,Sen. James Jeffords,Independent
300058,SD,Nay,Sen. Tim Johnson,Democrat
300059,MA,Nay,Sen. Edward Kennedy,Democrat
300060,MA,Not Voting,Sen. John Kerry,Democrat
300061,WI,Nay,Sen. Herbert Kohl,Democrat
300062,AZ,Yea,Sen. Jon Kyl,Republican
300063,LA,Nay,Sen. Mary Landrieu,Democrat
300064,NJ,Nay,Sen. Frank Lautenberg,Democrat
300065,VT,Nay,Sen. Patrick Leahy,Democrat
300066,MI,Nay,Sen. Carl Levin,Democrat
300067,CT,Not Voting,Sen. Joseph Lieberman,Democrat
300068,AR,Nay,Sen. Blanche Lincoln,Democrat
300069,MS,Yea,Sen. Trent Lott,Republican
300070,IN,Yea,Sen. Richard Lugar,Republican
300071,AZ,Nay,Sen. John McCain,Republican
300072,KY,Yea,Sen. Mitch McConnell,Republican
300073,MD,Nay,Sen. Barbara Mikulski,Democrat
300074,GA,Yea,Sen. Zell Miller,Democrat
300075,AK,Yea,Sen. Lisa Murkowski,Republican
300076,WA,Yea,Sen. Patty Murray,Democrat
300077,NE,Nay,Sen. Ben Nelson,Democrat
300078,FL,Nay,Sen. Bill Nelson,Democrat
300079,OK,Yea,Sen. Don Nickles,Republican
300080,AR,Nay,Sen. Mark Pryor,Democrat
300081,RI,Nay,Sen. John Reed,Democrat
300082,NV,Nay,Sen. Harry Reid,Democrat
300083,KS,Yea,Sen. Pat Roberts,Republican
300084,WV,Nay,Sen. John Rockefeller,Democrat
300085,PA,Yea,Sen. Richard Santorum,Republican
300086,MD,Nay,Sen. Paul Sarbanes,Democrat
300087,NY,Nay,Sen. Charles Schumer,Democrat
300088,AL,Yea,Sen. Jefferson Sessions,Republican
300089,AL,Yea,Sen. Richard Shelby,Republican
300090,OR,Yea,Sen. Gordon Smith,Republican
300091,ME,Nay,Sen. Olympia Snowe,Republican
300092,PA,Yea,Sen. Arlen Specter,Republican
300093,MI,Nay,Sen. Debbie Stabenow,Democrat
300094,AK,Yea,Sen. Ted Stevens,Republican
300095,NH,Yea,Sen. John Sununu,Republican
300096,MO,Yea,Sen. James Talent,Republican
300097,WY,Yea,Sen. Craig Thomas,Republican
300098,OH,Yea,Sen. George Voinovich,Republican
300099,VA,Yea,Sen. John Warner,Republican
300100,OR,Nay,Sen. Ron Wyden,Democrat
